Run_name,anion,cation,electrolytes,
1_1,cl,li,C1CC(=O)OC1,FC(F)(COCC(F)(F)F)F
1_2,cl,li,CC(=O)OC(C)C,FC(F)(COCC(F)(F)F)F
1_3,cl,li,CC(=O)OCC(C)C,FC(F)(COCC(F)(F)F)F
1_4,cl,li,CC(C)OC(=O)C(C)C,FC(F)(COCC(F)(F)F)F
1_5,cl,li,CC(C)OC(=O)OC(C)C,FC(F)(COCC(F)(F)F)F
1_6,cl,li,CC1OC(=O)OC1(C)C,FC(F)(COCC(F)(F)F)F
1_7,cl,li,CCC(=O)OC(C)C,FC(F)(COCC(F)(F)F)F
1_8,cl,li,CCC(C)COC(C)=O,FC(F)(COCC(F)(F)F)F
1_9,cl,li,CCC1OC(=O)OC1(C)C,FC(F)(COCC(F)(F)F)F
1_10,cl,li,CCC1OC(=O)OC1C,FC(F)(COCC(F)(F)F)F
1_11,cl,li,CCC1OC(=O)OC1CC,FC(F)(COCC(F)(F)F)F
1_12,cl,li,CCCC1COC(=O)O1,FC(F)(COCC(F)(F)F)F
1_13,cl,li,CCCC1OC(=O)OC1C,FC(F)(COCC(F)(F)F)F
1_14,cl,li,CCCOC(=O)CC,FC(F)(COCC(F)(F)F)F
1_15,cl,li,CCCOC(=O)OC(C)C,FC(F)(COCC(F)(F)F)F
1_16,cl,li,CCCOC(=O)OCC,FC(F)(COCC(F)(F)F)F
1_17,cl,li,CCCOC(=O)OCCC,FC(F)(COCC(F)(F)F)F
1_18,cl,li,CCOC(=O)OC(C)C,FC(F)(COCC(F)(F)F)F
1_19,cl,li,CCOC(=O)OC,FC(F)(COCC(F)(F)F)F
1_20,cl,li,CCOC(=O)OCC,FC(F)(COCC(F)(F)F)F
1_21,cl,li,CCOC(C)=O,FC(F)(COCC(F)(F)F)F
1_22,cl,li,COC(=O)OC,FC(F)(COCC(F)(F)F)F
1_23,cl,li,Cc1oc(=O)oc1C(C)C,FC(F)(COCC(F)(F)F)F
1_24,cl,li,Cc1oc(=O)oc1C,FC(F)(COCC(F)(F)F)F
1_25,cl,li,O=C1OCCO1,FC(F)(COCC(F)(F)F)F
25_1,cl,li,C1CC(=O)OC1,CC(=O)OC(C)C,CC(=O)OCC(C)C,CC(C)OC(=O)C(C)C,CC(C)OC(=O)OC(C)C,CC1OC(=O)OC1(C)C,CCC(=O)OC(C)C,CCC(C)COC(C)=O,CCC1OC(=O)OC1(C)C,CCC1OC(=O)OC1C,CCC1OC(=O)OC1CC,CCCC1COC(=O)O1,CCCC1OC(=O)OC1C,CCCOC(=O)CC,CCCOC(=O)OC(C)C,CCCOC(=O)OCC,CCCOC(=O)OCCC,CCOC(=O)OC(C)C,CCOC(=O)OC,CCOC(=O)OCC,CCOC(C)=O,COC(=O)OC,Cc1oc(=O)oc1C(C)C,Cc1oc(=O)oc1C,O=C1OCCO1,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F,FC(F)(COCC(F)(F)F)F


