0,1,2,3,4,5,6,7
,,,,†,,,
,,,Ultimate analysis,,,,
,,,,,,O : C,H : C
,,,,,,atomic,atomic
,Sample,C%,H%,N%,O%*,ratio,ratio
,Pine 350-5,69.64,3.79,0.00,26.58,0.29,0.65
,Pine 450-5,79.86,2.68,0.00,17.47,0.16,0.40
,Pine 550-5,89.93,1.57,0.00,8.50,0.07,0.21
,Pine 650-5,94.61,1.97,0.00,3.42,0.03,0.25
,Pine 350-100,70.97,4.94,1.37,22.73,0.24,0.83
,Pine 450-100,77.34,3.72,1.01,17.93,0.17,0.57
,Pine 550-100,82.32,2.96,0.84,13.88,0.13,0.43
,Pine 650-100,87.89,2.35,1.47,8.29,0.07,0.32
(b),,,,,,,
,RH 350-5,66.14,4.67,0.00,29.19,0.33,0.84
,RH 450-5,74.93,4.11,0.00,20.97,0.21,0.65
,RH 550-5,84.03,3.43,0.00,12.54,0.11,0.49
,RH 650-5,95.13,2.85,0.00,2.02,0.02,0.36
,RH 350-100,70.87,5.36,0.00,23.77,0.25,0.90
,RH 450-100,76.86,4.26,0.00,18.88,0.18,0.66
,RH 550-100,89.98,3.61,0.00,6.40,0.05,0.48
,RH 650-100,89.61,2.74,0.00,7.64,0.06,0.36
,WS 350-5,70.88,5.46,1.71,21.96,0.31,0.92
,WS 450-5,83.11,5.40,1.36,10.12,0.12,0.77
,WS 550-5,86.21,3.63,0.81,9.36,0.11,0.50
,WS 650-5,94.90,3.68,1.53,0.00,0.00,0.46
