0,1,2,3,4,5,6,7,8,9,10
,adsorption isotherms at 77 K.,,,,,,,,,
,Table 1  Different pyrolysis temperatures and elemental content of biochar,,,,,,,,,
Sample,,Elemental analysis (Dry basis),,,,,,Molecular ratio,,
,C (%),,H (%),N (%),O (%),,H/C,,O/C,
Rice straw,39.81,1.12,"5.74 
 0.08","0.64 
 0.04",42.56,0.37,1.73,0.012,0.86,0.016
,,±,±,±,,±,,±,,±
RS3,58.36,1.25,"3.51 
 0.07","0.89 
 0.01",15.45,0.68,0.72,0.013,0.20,0.013
,,±,±,±,,±,,±,,±
RS4,60.38,1.32,"3.01 
 0.06","0.73 
 0.02",11.95,0.54,0.60,0.012,0.15,0.012
,,±,±,±,,±,,±,,±
RS5,61.98,1.10,"2.32 
 0.04","0.62 
 0.03",6.50,0.12,0.45,0.014,0.08,0.011
,,±,±,±,,±,,±,,±
RS6,62.44,1.02,"1.90 
 0.03","0.40 
 0.01",5.39,0.21,0.37,0.011,0.07,0.009
,,±,±,±,,±,,±,,±
RS7,64.34,1.43,"1.77 
 0.03","0.30 
 0.02",0.88,0.06,0.33,0.010,0.01,0.011
,,±,±,±,,±,,±,,±
Corn straw,41.11,1.25,"5.12 
 0.06","0.97 
 0.02",48.35,0.51,1.49,0.016,0.88,0.014
,,±,±,±,,±,,±,,±
CS3,67.88,0.89,"3.79 
 0.04","1.71 
 0.01",14.73,0.39,0.67,0.012,0.16,0.012
,,±,±,±,,±,,±,,±
CS4,71.56,1.62,"3.52 
 0.09","1.64 
 0.04",10.57,0.32,0.59,0.013,0.11,0.011
,,±,±,±,,±,,±,,±
CS5,73.80,1.14,"2.70 
 0.08","1.60 
 0.03",8.52,0.42,0.44,0.011,0.09,0.012
,,±,±,±,,±,,±,,±
CS6,76.70,1.92,"2.14 
 0.05","0.90 
 0.01",5.70,0.32,0.34,0.012,0.06,0.012
,,±,±,±,,±,,±,,±
CS7,78.71,1.82,"2.07 
 0.04","0.63 
 0.03",2.91,0.36,0.32,0.013,0.03,0.008
,,±,±,±,,±,,±,,±
Camellia oleifera shells,47.53,1.53,"5.96 
 0.04","0.41 
 0.02",41.84,0.69,1.50,0.017,0.65,0.011
,,±,±,±,,±,,±,,±
OT3,65.93,1.39,"4.57 
 0.05","0.52 
 0.05",19.49,0.57,0.83,0.010,0.22,0.007
,,±,±,±,,±,,±,,±
OT4,73.70,1.37,"3.50 
 0.03","0.40 
 0.02",12.13,0.68,0.57,0.013,0.12,0.009
,,±,±,±,,±,,±,,±
OT5,76.82,1.26,"2.74 
 0.01","0.33 
 0.01",9.21,0.41,0.43,0.010,0.09,0.010
,,±,±,±,,±,,±,,±
OT6,78.78,1.22,"2.03 
 0.01","0.19 
 0.01",7.48,0.38,0.31,0.009,0.07,0.012
,,±,±,±,,±,,±,,±
OT7,80.93,1.09,"1.43 
 0.03","0.38 
 0.02",5.14,0.34,0.21,0.008,0.05,0.011
,,±,±,±,,±,,±,,±
Garden waste,47.71,1.04,"6.23 
 0.07","0.27 
 0.04",44.22,0.72,1.57,0.015,0.70,0.009
,,±,±,±,,±,,±,,±
GW3,68.90,1.01,"4.41 
 0.08","0.44 
 0.02",21.98,0.79,0.77,0.007,0.24,0.012
,,±,±,±,,±,,±,,±
GW4,70.96,1.62,"3.52 
 0.04","0.54 
 0.06",19.41,0.64,0.60,0.008,0.21,0.013
,,±,±,±,,±,,±,,±
GW5,79.46,1.33,"2.85 
 0.02","0.23 
 0.03",10.52,0.22,0.43,0.007,0.10,0.011
,,±,±,±,,±,,±,,±
GW6,82.98,1.45,"2.05 
 0.03","0.12 
 0.01",7.44,0.23,0.30,0.006,0.07,0.010
,,±,±,±,,±,,±,,±
GW7,83.37,1.53,"1.49 
 0.04","0.10 
 0.01",6.31,0.21,0.21,0.006,0.06,0.012
,,±,±,±,,±,,±,,±
