0,1,2,3,4,5,6
,"Table 2. Elemental Composition, Atomic Ratio, Yield, and Ash Content of",,,,,
,"Biochars Produced from RS, CS, and WS",,,,,
Sample,,,Elemental Compositions,,Atomic Ratios,
,,,,,,Yield (%)
,C%,H%,O%,"N% 
Ash%","Sum% 
O/C 
H/C 
(N+O)/C",
RS,39.2±0.2,5.48±0.90,44.8±0.3,0.51±0.01  9.93±0.21,"99.9±0.2 
0.86±0.02  1.68±0.06  0.87±0.01",100.0±0.0
RS250,50.8±1.2,5.40±0.29,26.9±0.2,"0.45±0.01 
16.4±0.8",101.0±1.9  0.40±0.01  1.28±0.10  0.41±0.02,59.9±0.8
RS300,59.1±0.2,5.15±0.08,14.4±0.8,"0.56±0.01 
20.8±1.5",101.0±1.6  0.18±0.01  1.05±0.02  0.19±0.00,46.1±1.2
RS350,58.9±0.2,4.50±0.01,12.0±0.3,"0.58±0.05 
24.1±1.2",100.5±0.9  0.15±0.01  0.92±0.00  0.16±0.01,41.2±0.7
RS400,61.7±0.1,3.31±0.00,8.6±0.1,"0.66±0.04 
25.7±0.7",101.1±0.6  0.10±0.02  0.64±0.03  0.11±0.01,37.0±0.6
RS500,61.6±0.4,,3.19±0.07  5.06±0.08  0.68±0.04,29.5±0.9,101.3±1.4  0.06±0.00  0.62±0.01  0.07±0.01,32.9±0.3
RS600,62.9±0.4,,2.84±0.09  1.87±0.01  0.60±0.06,31.8±1.2,100.0±1.7  0.02±0.01  0.54±0.01  0.03±0.01,31.7±0.5
CS,43.1±0.3,6.72±0.06,45.7±0.3,,0.62±0.03  3.88±0.12  101.3±1.2  0.80±0.02  1.87±0.11  0.81±0.02,100.0±0.0
CS250,53.4±0.1,6.22±0.10,35.1±0.7,,0.26±0.01  5.02±0.14  100.6±1.5  0.49±0.02  1.40±0.02  0.50±0.02,72.0±1.5
CS300,68.9±0.2,5.61±0.07,17.1±0.2,,0.59±0.04  7.86±0.09  100.1±0.8  0.19±0.01  0.98±0.01  0.19±0.01,43.3±0.9
CS350,69.5±0.6,4.89±0.15,15.6±0.6,,0.61±0.04  9.46±0.17  100.1±1.9  0.17±0.02  0.84±0.03  0.18±0.02,37.5±1.1
CS400,74.4±0.4,3.75±0.01,10.9±0.1,"0.69±0.03 
10.0±0.6","99.7±0.8 
0.11±0.01  0.60±0.03  0.12±0.01",34.2±0.7
CS500,78.1±0.2,3.66±0.06,5.84±0.5,"0.80±0.08 
11.6±0.5",100.0±0.1  0.06±0.01  0.56±0.01  0.06±0.00,30.0±1.4
CS600,82.0±0.1,,3.06±0.23  1.50±0.41  0.82±0.05,12.7±1.5,100.1±1.3  0.01±0.00  0.45±0.03  0.02±0.00,27.7±1.0
WS,40.6±0.1,6.66±0.03,44.1±0.3,,0.88±0.16  7.81±0.31  100.2±0.1  0.81±0.05  1.97±0.05  0.83±0.05,100.0±0.0
WS250,49.6±0.1,6.05±0.17,31.4±0.2,"0.67±0.04 
12.3±1.3",101.3±1.6  0.47±0.09  1.46±0.04  0.49±0.02,70.1±1.6
WS300,60.8±0.3,5.36±0.11,14.5±0.1,"1.12±0.01 
18.3±0.9",100.1±0.9  0.18±0.03  1.06±0.02  0.19±0.01,46.0±2.5
WS350,61.3±0.1,4.59±0.06,12.8±0.2,"1.06±0.17 
20.2±0.6",101.0±0.5  0.16±0.03  0.90±0.01  0.17±0.03,40.9±1.3
WS400,62.8±0.3,3.30±0.02,10.9±0.5,"1.07±0.10 
21.9±0.9",101.0±1.2  0.13±0.02  0.63±0.00  0.14±0.02,37.0±0.7
WS500,66.4±0.2,3.36±0.04,4.43±0.9,"1.19±0.06 
24.6±0.6",101.4±1.6  0.05±0.01  0.61±0.01  0.07±0.01,32.3±0.4
WS600,67.7±0.1,2.60±0.17,2.59±0.6,"1.08±0.05 
26.0±1.1",100.8±1.2  0.03±0.00  0.46±0.03  0.04±0.01,30.4±1.3
