0,1,2,3,4,5,6,7,8
,RSP,600 W,600 W,600 W,450 W,800 W,"800 W, 10%",
"Microwave power, Final temperature",feedstock,800◦C,600◦C,300◦C,300◦C,300◦C,ACS 300◦C,300◦C
"Proximate analysis (wt.%, db)",,,,,,,,
Volatiles,73.6,45.7,47.4,58.7,59.4,57.2,10.0,45.0
Fixed carbon,7.9,6.8,9.7,8.2,6.9,5.0,43.9,24.2
Ash,18.5,47.5,42.9,33.1,33.7,37.8,46.2,29.5
"Ultimate analysis (wt.%, db)",,,,,,,,
Carbon,38.0,42.9,41.6,44.3,44.1,43.1,40.7,40.5
Hydrogen,5.1,1.7,1.9,4.0,3.2,2.3,1.0,4.5
Nitrogen,1.5,0.5,0.8,0.9,0.9,0.6,0.5,1.0
Sulphur,0.0,0,0,0,0,0,0,0
Oxygen1,36.9,7.4,12.7,17.7,18.1,16.2,12.9,24.7
Porosimetry,,,,,,,,
BET surface area (m2 g–1),–,73.0,23.4,1.5,2.8,8.0,3.5,1.0
Average pore diameter (nm),–,3.6,6.8,54.6,28.2,14.6,25.6,20.8
Energy calculations,,,,,,,,
HHV (MJ kg–1),14.9,15.3,15.5,17.2,16.9,15.9,15.6,16.0
Carbon yield (%),n.a.,38.0,38.9,64.8,58.4,57.7,37.8,78.0
Bio-char residue at 850◦C (%),33.4,82.6,77.0,47.9,60.5,67.1,86.8,50.9
LOI (%),30.9,50.5,48.3,36.7,41.7,44.3,52.2,37.9
Power generation potential (kWh kg–1),n.a.,4.3,4.3,4.8,4.7,4.4,4.3,4.4
