0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Mass fraction,CHARIN,GASIN,TARIN,2-GASPDT,ASH,,WGSRPROD RECYCH2O PURGEH2O STEAMIN2,,,DRYSYNG,CO2+H2S,8-CLNSYN,SYNGFUEL,SYNGAS,HYDROGEN,OFFGAS,COMBGAS,AIRIN,14-BFW
H2O,0,0.1667,0.1428,0.2895,0,0.1465,0.9553,0.0543,0.9848,0.0064,0,0.0153,0.0153,0.0153,0,0.0183,0.1463,0,1
N2,0,0.0129,0,0.0036,0,0.0037,0,0.0004,0,0.0045,0,0.0110,0.0110,0.0110,0,0.0131,0.6845,0.7671,0
O2,0,0,0.2983,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204,0.2329,0
NO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54E-06,0,0
NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0
S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2,0,0.0033,0,0.0516,0,0.0695,0,0,0,0.0859,0,0.2069,0.2069,0.2069,1.0000,0.0496,0,0,0
C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,0,0.4486,0,0.4278,0,0.2049,0.0001,0.0315,0,0.2515,0,0.6060,0.6060,0.6060,0,0.7263,0,0,0
CO2,0,0.0639,0,0.2045,0,0.5739,0.0445,0.9121,0.0151,0.6500,0.9999,0.1567,0.1567,0.1567,0,0.1877,0.1484,0,0
H2S,0,0.0002,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0.0001,0,0,0,0,0,0,0,0
CH4,0,0.0500,0,0.0014,0,0.0015,0,0.0015,0,0.0017,0,0.0041,0.0041,0.0041,0,0.0049,0,0,0
COS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETHAN-01,0,0.2544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHENO-01,0,0,0.4879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASH,0,0,0.0710,0.0214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mass flow (kg h-1),443,5336,5764,19099,409,18690,2717,851,7999,15123,8848,6275,4093,2182,361,1821,58287,51931,5283
Molar flow (kmol h-1),36.84,215.63,129.30,1180.73,0.00,1180.73,146.81,21.25,440.06,1012.67,201.05,811.61,529.39,282.23,179.19,103.04,2132.08,1800.00,293.27
