0,1,2,3,4,5,6,7,8,9,10
,10,11,12,13,14,15,16,17,18,19
Temperature (°C),"1,195",371,169,169,169,185,149,149,21,96
Pressure (bar),1.01,0.98,0.97,0.95,0.95,1.05,0.97,0.95,1.01,152.72
Mass Flow (kg/h),"10,315","2,220,680","2,220,680","1,146","2,219,540","2,219,540","674,852","12,482","476,986","473,874"
Enthalpy (kJ/kg),-644,167,-46,"-1,815",-45,-28,"-9,350",-553,"-8,855","-8,879"
Vapor-Liquid Components (kg/h),,,,,,,,,,
CO2,0,"17,640","17,640",0,"17,640","17,640","531,211",0,"464,641","464,640"
H2,0,0,0,0,0,0,0,0,0,0
H2O,0,"17,954","17,954",0,"17,954","17,954","120,765",0,"3,874",762
N2,0,"1,959,902","1,959,902",0,"1,959,902","1,959,902","2,941",0,"2,572","2,572"
O2,0,"181,215","181,215",0,"181,215","181,215","3,689",0,"3,227","3,227"
Ar,0,"33,268","33,268",0,"33,268","33,268",0,0,0,0
SO2,0,"7,764","7,764",0,"7,764","7,764","3,027",0,"2,641","2,641"
Solid Components (kg/h),,,,,,,,,,
Fe,0,0,0,0,0,0,0,0,0,0
Fe0.947O,0,0,0,0,0,0,0,0,0,0
Fe3O4,0,0,0,0,0,0,0,0,0,0
Fe2O3,583,65,65,65,0,0,0,0,0,0
Fe0.877S,0,0,0,0,0,0,0,0,0,0
Al2O3,583,65,65,65,0,0,0,0,0,0
C,0,0,0,0,0,0,"2,316","2,316",0,0
Coal,0,0,0,0,0,0,0,0,0,0
Ash,"9,149","1,017","1,017","1,017",0,0,"10,166","10,166",0,0
