0,1,2,3,4,5,6,7,8,9
"ues of M$ 55, M$ 172 and M$435 were estimated whilst the",,,,,,kg except for the fact that this price may be considered too,,,
Table 5,,,,,,,,,
,Gasification conditions and performance evaluation,,,,,,,,
,30 tons/day,,,60 tons/day,,,120 tons/day,,
,Fluidized bed,Fixed bed,Rotary kiln,Fluidized bed,Fixed bed,Rotary Kiln,Fluidized Bed,Fixed Bed,Rotary Kiln
Capacity (kg/h),1350,1350,1350,2700,2700,2700,a 5400,5400,5400
Crumb size (mm),2,20,6,2,20,6,a 2,a 20,6
Equivalence ratio,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
(ER),,,,,,,,,
Steam to tyre ratio,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
(STR),,,,,,,,,
Steam to char ratio,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
(SCR),,,,,,,,,
Total energy input,55.65,55.65,55.65,55.65,55.65,55.65,55.65,55.65,55.65
(MW),,,,,,,,,
Pre-treatment energy,0.12,0.12,0.12,0.23,0.23,0.23,0.46,0.46,b 0.46
(MW),,,,,,,,,
Syngas energy,22.39,22.44,24.88,22.39,22.44,24.88,22.39,22.44,24.88
Output (MW),,,,,,,,,
Syngas flowrate,2463,2532,2241,4927,5065,4481,9854,"10,130",8963
(kg/h),,,,,,,,,
Syngas LHV,6.35,6.17,5.65,6.35,6.17,5.65,6.35,6.17,5.65
(MJ/kg-feed),,,,,,,,,
Total syngas,70.2,68.8,56.8,70.2,68.8,56.8,70.2,68.8,56.8
efficiency (LHV%),,,,,,,,,
Total energy,81.9,80.6,73.7,81.9,80.6,73.7,81.9,80.6,73.7
efficiency (LHV%),,,,,,,,,
Activated carbon,16.31,53.65,46.80,32.62,107.305,93.605,65.24,214.61,187.21
(kg/h),,,,,,,,,
pwt,,,,,,,,,
