0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
COMPONENT,UNITS,326,662A,225A,370,385T,426,513,1483,225F,385F,328,325A,330,332,329,330A,330B
Total Flow,lb/hr,9,"57,020","221,320","7,645","7,645","19,113","4,819","4,649","15,668","11,468",59,"285,994","285,985","288,332","251,729",50,"285,985"
Temperature,F,-,"1,600","1,598","1,600",507,507,217,173,"1,598",507,-,"1,598","1,670","2,452",90,-,"1,670"
Pressure,Psia,35.0,102.6,31.4,29,34,34,98.0,69.5,31.4,33.7,25.7,28.7,25.7,17.5,14.7,25.7,25.7
Vapor Fraction,,-,1,1,1,1,1,1,1,1,1,-,1,1,1,1,-,1
Hydrogen (H2),lb/hr,-,-,"2,892",494,494,"1,236",11,0,205,741,-,"3,386","13,303",-,-,-,"13,303"
Carbon Monoxide (CO),lb/hr,-,-,"71,015","4,004","4,004","10,011",75,-,"5,027","6,007",-,"75,020","87,773",-,-,-,"87,773"
Nitrogen (N2),lb/hr,-,-,-,157,157,393,11,-,-,236,-,157,404,"186,648","186,401",-,404
Oxygen (O2),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,104","57,113",-,-
Argon (Ar),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,179","3,179",-,-
Carbon Dioxide (CO2),lb/hr,-,-,"33,837","1,357","1,357","3,393","1,639",-,"2,395","2,036",-,"35,194","83,544","52,037",124,-,"83,544"
Water (H2O),lb/hr,-,"57,020","87,349",14,14,36,8,27,"6,184",22,-,"144,384","96,689","38,211","4,912",-,"96,689"
Hydrogen Sulfide (H2S),lb/hr,-,-,151,0,0,0,-,-,11,0,-,151,151,-,-,-,151
Sulfur dioxide (SO2),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-
Ammonia (NH3),lb/hr,-,-,331,2,2,6,21,0,23,4,-,334,33,-,-,-,33
Nitrogen dioxide (NO2),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,129,-,-,-
Methane (CH4),lb/hr,-,-,"14,811","1,196","1,196","2,989",193,421,"1,048","1,794",-,"16,006","3,201",-,-,-,"3,201"
Ethane (C2H6),lb/hr,-,-,527,2,2,4,1,118,37,2,-,529,5,-,-,-,5
Ethylene (C2H4),lb/hr,-,-,"7,331",236,236,591,156,74,519,355,-,"7,568",757,-,-,-,757
Acetylene (C2H2),lb/hr,-,-,638,17,17,43,22,0,45,26,-,655,66,-,-,-,66
Propane (C3H8),lb/hr,-,-,-,0,0,0,0,463,-,0,-,0,0,-,-,-,0
Propene (C3H6),lb/hr,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-
I-Butane (C4H10),lb/hr,-,-,-,0,0,0,0,"1,356",-,0,-,0,0,-,-,-,0
N-Butane (C4H10),lb/hr,-,-,-,0,0,0,0,17,-,0,-,0,0,-,-,-,0
Butenes (C4H8),lb/hr,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-
Pentanes (C5H12),lb/hr,-,-,-,0,0,0,0,49,-,0,-,0,0,-,-,-,0
Pentenes (C5H10),lb/hr,-,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-
Hexanes (C6H14),lb/hr,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-
Hexenes (C6H12),lb/hr,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-
Benzene (C6H6),lb/hr,-,-,597,0,0,0,0,0,42,0,-,597,6,-,-,-,6
Heptanes (C7H16),lb/hr,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-
Triptane,lb/hr,-,-,-,-,-,-,-,85,-,-,-,-,-,-,-,-,-
Heptenes (C7H14),lb/hr,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-
Triptene,lb/hr,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-
Octanes (C8H18),lb/hr,-,-,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-
Octenes (C8H16),lb/hr,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
N-Nonanes (C9H20),lb/hr,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-
N-Nonenes (C9H18),lb/hr,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-
Hexamethylbenzene (C6(CH3)6),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tar (C10H8),lb/hr,-,-,"1,791",0,0,0,0,0,127,0,-,"1,791",2,-,-,-,2
Carbon (Solid),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sulfur (Solid),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olivine + MgO (Solid),lb/hr,9,-,47,-,-,-,-,-,3,-,56,56,47,3,-,47,47
Methanol (CH4O),lb/hr,-,-,-,164,164,411,"2,681",-,-,246,-,164,0,-,-,-,0
Dimethyl ether (C2H6O),lb/hr,-,-,-,-,-,-,-,"1,859",-,-,-,-,-,-,-,-,-
MDEA (C5H13NO2),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ash,lb/hr,-,-,0,-,-,-,-,-,0,-,0,0,0,-,-,0,0
Char,lb/hr,-,-,4,-,-,-,-,-,0,-,4,4,4,0,-,4,4
Wood,lb/hr,-,-,0,-,-,-,-,-,0,-,0,0,0,-,-,0,0
Enthalpy Flow,MMBTU/hr,(0),(286),(621),(8),(13),(32),(14),(6),(44),(19),0,(915),(803),(210),(28),0,(803)
