0,1,2,3,4,5,6,7,8
COMPONENT,UNITS,315,470,331,315L,315P,315,315SCRUB
Total Flow,lb/hr,"212,665","349,903","190,834","21,830","21,830","20,329","1,501"
Temperature,F,137,173,110,136,136,136,136
Pressure,Psia,22.7,735.0,430.0,22.7,35.0,35.0,35.0
Vapor Fraction,,1,1,1,-,-,-,-
Hydrogen (H2),lb/hr,"13,303","33,613","13,303",0,0,0,0
Carbon Monoxide (CO),lb/hr,"87,728","169,605","87,728",0,0,0,0
Nitrogen (N2),lb/hr,404,"7,377",404,0,0,0,0
Oxygen (O2),lb/hr,-,-,-,-,-,-,-
Argon (Ar),lb/hr,-,-,-,-,-,-,-
Carbon Dioxide (CO2),lb/hr,"83,531","62,958","83,531",0,0,0,0
Water (H2O),lb/hr,"23,514",490,"1,686","21,828","21,828","20,327","1,501"
Hydrogen Sulfide (H2S),lb/hr,150,-,150,0,0,0,0
Sulfur dioxide (SO2),lb/hr,-,-,-,-,-,-,-
Ammonia (NH3),lb/hr,30,109,29,2,2,1,0
Nitrogen dioxide (NO2),lb/hr,-,-,-,-,-,-,-
Methane (CH4),lb/hr,"3,183","56,032","3,183",0,0,0,0
Ethane (C2H6),lb/hr,5,76,5,0,0,0,0
Ethylene (C2H4),lb/hr,747,"11,051",747,0,0,0,0
Acetylene (C2H2),lb/hr,65,796,65,0,0,0,0
Propane (C3H8),lb/hr,0,0,0,0,0,0,0
Propene (C3H6),lb/hr,-,-,-,-,-,-,-
I-Butane (C4H10),lb/hr,0,0,0,0,0,0,0
N-Butane (C4H10),lb/hr,0,0,0,0,0,0,0
Butenes (C4H8),lb/hr,-,-,-,-,-,-,-
Pentanes (C5H12),lb/hr,0,0,0,0,0,0,0
Pentenes (C5H10),lb/hr,-,-,-,-,-,-,-
Hexanes (C6H14),lb/hr,-,-,-,-,-,-,-
Hexenes (C6H12),lb/hr,-,-,-,-,-,-,-
Benzene (C6H6),lb/hr,3,3,3,0,0,0,0
Heptanes (C7H16),lb/hr,-,-,-,-,-,-,-
Triptane,lb/hr,-,-,-,-,-,-,-
Heptenes (C7H14),lb/hr,-,-,-,-,-,-,-
Triptene,lb/hr,-,-,-,-,-,-,-
Octanes (C8H18),lb/hr,-,-,-,-,-,-,-
Octenes (C8H16),lb/hr,-,-,-,-,-,-,-
N-Nonanes (C9H20),lb/hr,-,-,-,-,-,-,-
N-Nonenes (C9H18),lb/hr,-,-,-,-,-,-,-
Hexamethylbenzene (C6(CH3)6),lb/hr,-,-,-,-,-,-,-
Tar (C10H8),lb/hr,0,0,0,0,0,0,0
Carbon (Solid),lb/hr,-,-,-,-,-,-,-
Sulfur (Solid),lb/hr,-,-,-,-,-,-,-
Olivine + MgO (Solid),lb/hr,-,-,-,-,-,-,-
Methanol (CH4O),lb/hr,0,"7,794",0,0,0,0,0
Dimethyl ether (C2H6O),lb/hr,-,-,-,-,-,-,-
MDEA (C5H13NO2),lb/hr,-,-,-,-,-,-,-
Ash,lb/hr,-,-,-,-,-,-,-
Char,lb/hr,-,-,-,-,-,-,-
Wood,lb/hr,-,-,-,-,-,-,-
Enthalpy Flow,MMBTU/hr,(606),(635),(484),(149),(149),(139),(10)
