0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
COMPONENT,UNITS,610,609A,332,602C,611C,498,662,662A,200,333,200B,385T,370
Total Flow,lb/hr,"404,719","404,719","288,332","404,719","177,601","12,873","57,020","57,020","73,120","288,332","73,120","7,645","7,645"
Temperature,F,784,783,"2,452","1,000","1,000","1,200",330,"1,600",782,702,500,507,"1,600"
Pressure,Psia,64.7,176.0,17.5,174.0,64.7,419.5,103.1,102.6,35.0,17.4,35.0,33.7,28.7
Vapor Fraction,,1,1,1,1,1,1,1,1,1,1,1,1,1
Hydrogen (H2),lb/hr,-,-,-,-,-,"1,113",-,-,-,-,-,494,494
Carbon Monoxide (CO),lb/hr,-,-,-,-,-,"4,596",-,-,-,-,-,"4,004","4,004"
Nitrogen (N2),lb/hr,-,-,"186,648",-,-,368,-,-,-,"186,648",-,157,157
Oxygen (O2),lb/hr,-,-,"8,104",-,-,-,-,-,-,"8,104",-,-,-
Argon (Ar),lb/hr,-,-,"3,179",-,-,-,-,-,-,"3,179",-,-,-
Carbon Dioxide (CO2),lb/hr,-,-,"52,037",-,-,"3,000",-,-,-,"52,037",-,"1,357","1,357"
Water (H2O),lb/hr,"404,719","404,719","38,211","404,719","177,601",1,"57,020","57,020","73,120","38,211","73,120",14,14
Hydrogen Sulfide (H2S),lb/hr,-,-,-,-,-,0,-,-,-,-,-,0,0
Sulfur dioxide (SO2),lb/hr,-,-,20,-,-,-,-,-,-,20,-,-,-
Ammonia (NH3),lb/hr,-,-,-,-,-,4,-,-,-,-,-,2,2
Nitrogen dioxide (NO2),lb/hr,-,-,129,-,-,-,-,-,-,129,-,-,-
Methane (CH4),lb/hr,-,-,-,-,-,"2,793",-,-,-,-,-,"1,196","1,196"
Ethane (C2H6),lb/hr,-,-,-,-,-,4,-,-,-,-,-,2,2
Ethylene (C2H4),lb/hr,-,-,-,-,-,545,-,-,-,-,-,236,236
Acetylene (C2H2),lb/hr,-,-,-,-,-,39,-,-,-,-,-,17,17
Propane (C3H8),lb/hr,-,-,-,-,-,0,-,-,-,-,-,0,0
Propene (C3H6),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
I-Butane (C4H10),lb/hr,-,-,-,-,-,0,-,-,-,-,-,0,0
N-Butane (C4H10),lb/hr,-,-,-,-,-,0,-,-,-,-,-,0,0
Butenes (C4H8),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
Pentanes (C5H12),lb/hr,-,-,-,-,-,0,-,-,-,-,-,0,0
Pentenes (C5H10),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
Hexanes (C6H14),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
Hexenes (C6H12),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
Benzene (C6H6),lb/hr,-,-,-,-,-,0,-,-,-,-,-,0,0
Heptanes (C7H16),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
Triptane,lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
Heptenes (C7H14),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
Triptene,lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
Octanes (C8H18),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
Octenes (C8H16),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
N-Nonanes (C9H20),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
N-Nonenes (C9H18),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
Hexamethylbenzene (C6(CH3)6),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
Tar (C10H8),lb/hr,-,-,-,-,-,0,-,-,-,-,-,0,0
Carbon (Solid),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
Sulfur (Solid),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
Olivine + MgO (Solid),lb/hr,-,-,3,-,-,-,-,-,-,3,-,-,-
Methanol (CH4O),lb/hr,-,-,-,-,-,411,-,-,-,-,-,164,164
Dimethyl ether (C2H6O),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
MDEA (C5H13NO2),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
Ash,lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
Char,lb/hr,-,-,0,-,-,-,-,-,-,0,-,-,-
Wood,lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-
Enthalpy Flow,MMBTU/hr,"(2,205)","(2,207)",(210),"(2,162)",(948),(16),(324),(286),(398),(371),(408),(13),(8)
