0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
COMPONENT,UNITS,331,470TOAGR,470A,470B,470C,470D,478B,478C,478D,478E,426,462A,466A,470,485,471,411B,472,471V,473,473A,482,478,416Z,483,498,475,471C,503
Total Flow,lb/hr,"190,834","178,068","99,659","12,767","112,425","112,401","6,938",698,"6,240","6,240","19,113","105,463","105,402","349,903","349,903","349,903","349,903","349,903","311,834","311,834","311,834","257,370","244,501","12,873","244,501","12,873","54,465","38,069","92,528"
Temperature,F,110,112,110,112,110,110,110,110,110,98,507,110,185,173,437,482,225,200,200,140,110,110,110,108,168,"1,200",110,200,148
Pressure,Psia,430.0,425.0,415.0,425.0,415.0,410.0,410.0,410.0,410.0,135.0,33.7,410.0,735.0,735.0,730.0,580.0,575.0,574.0,573.0,572.0,567.0,565.0,565.0,424.5,735.0,419.5,565.0,573.0,565.0
Vapor Fraction,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-
Hydrogen (H2),lb/hr,"13,303","12,413","12,413",890,"13,303","13,303",821,698,123,123,"1,236","12,482","12,482","33,613","33,613","22,254","22,254","22,254","22,248","22,248","22,248","22,243","21,131","1,113","21,131","1,113",5,6,11
Carbon Monoxide (CO),lb/hr,"87,728","81,859","81,859","5,869","87,728","87,728","5,415",-,"5,415","5,415","10,011","82,313","82,313","169,605","169,605","91,963","91,963","91,963","91,923","91,923","91,923","91,886","87,292","4,596","87,292","4,596",37,40,75
Nitrogen (N2),lb/hr,404,377,377,27,404,404,25,-,25,25,393,379,379,"7,377","7,377","7,377","7,377","7,377","7,371","7,371","7,371","7,365","6,997",368,"6,997",368,6,5,11
Oxygen (O2),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Argon (Ar),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide (CO2),lb/hr,"83,531","77,943",779,"5,588","6,368","6,368",393,-,393,393,"3,393","5,974","5,974","62,958","62,958","61,623","61,623","61,623","61,133","61,133","61,133","59,982","56,983","3,000","56,983","3,000","1,151",490,"1,639"
Water (H2O),lb/hr,"1,686","1,573",456,113,569,569,35,-,35,35,36,534,472,490,490,"1,036","1,036","1,036",410,410,410,18,18,1,18,1,392,626,"1,018"
Hydrogen Sulfide (H2S),lb/hr,150,140,14,10,24,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-
Sulfur dioxide (SO2),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ammonia (NH3),lb/hr,29,27,25,2,27,27,2,-,2,2,6,25,25,109,109,109,109,109,104,104,104,88,84,4,84,4,16,5,21
Nitrogen dioxide (NO2),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Methane (CH4),lb/hr,"3,183","2,970","2,970",213,"3,183","3,183",196,-,196,196,"2,989","2,986","2,986","56,032","56,032","56,032","56,032","56,032","55,946","55,946","55,946","55,838","53,046","2,793","53,046","2,793",108,86,193
Ethane (C2H6),lb/hr,5,5,5,0,5,5,0,-,0,0,4,5,5,76,76,76,76,76,75,75,75,74,71,4,71,4,1,0,1
Ethylene (C2H4),lb/hr,747,697,697,50,747,747,46,-,46,46,591,701,701,"11,051","11,051","11,051","11,051","11,051","10,993","10,993","10,993","10,895","10,350",545,"10,350",545,98,58,156
Acetylene (C2H2),lb/hr,65,60,60,4,65,65,4,-,4,4,43,61,61,796,796,796,796,796,789,789,789,774,735,39,735,39,15,7,22
Propane (C3H8),lb/hr,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propene (C3H6),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
I-Butane (C4H10),lb/hr,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N-Butane (C4H10),lb/hr,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butenes (C4H8),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pentanes (C5H12),lb/hr,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pentenes (C5H10),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hexanes (C6H14),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hexenes (C6H12),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benzene (C6H6),lb/hr,3,3,3,0,3,3,0,-,0,0,0,3,3,3,3,3,3,3,2,2,2,0,0,0,0,0,1,1,3
Heptanes (C7H16),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Triptane,lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Heptenes (C7H14),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Triptene,lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Octanes (C8H18),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Octenes (C8H16),lb/hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
