0,1,2,3,4,5,6,7,8,9,10,11
COMPONENT,UNITS,1503,1503A,1504,1509,1508,1508A,1508B,1508C,1508FG,1510C
Total Flow,lb/hr,"46,621","46,621","46,621","41,942","3,512","3,337",176,"1,167","1,694","1,167"
Temperature,F,110,113,173,306,110,110,110,110,102,110
Pressure,Psia,72.0,314.7,312.2,200.0,200.0,200.0,200.0,200.0,147.0,200.0
Vapor Fraction,,-,-,-,-,-,-,-,1,1,1
Hydrogen (H2),lb/hr,0,0,0,0,0,0,0,0,0,0
Carbon Monoxide (CO),lb/hr,-,-,-,-,-,-,-,-,-,-
Nitrogen (N2),lb/hr,-,-,-,-,-,-,-,-,-,-
Oxygen (O2),lb/hr,-,-,-,-,-,-,-,-,-,-
Argon (Ar),lb/hr,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide (CO2),lb/hr,-,-,-,-,-,-,-,-,-,-
Water (H2O),lb/hr,355,355,355,355,0,0,0,0,2,0
Hydrogen Sulfide (H2S),lb/hr,-,-,-,-,-,-,-,-,-,-
Sulfur dioxide (SO2),lb/hr,-,-,-,-,-,-,-,-,-,-
Ammonia (NH3),lb/hr,0,0,0,0,0,0,0,0,0,0
Nitrogen dioxide (NO2),lb/hr,-,-,-,-,-,-,-,-,-,-
Methane (CH4),lb/hr,69,69,69,0,11,10,1,58,59,58
Ethane (C2H6),lb/hr,74,74,74,0,34,32,2,40,42,40
Ethylene (C2H4),lb/hr,34,34,34,0,13,12,1,21,22,21
Acetylene (C2H2),lb/hr,0,0,0,-,0,0,0,0,0,0
Propane (C3H8),lb/hr,703,703,703,0,498,473,25,204,229,204
Propene (C3H6),lb/hr,7,7,7,0,5,5,0,2,3,2
I-Butane (C4H10),lb/hr,"6,731","6,731","6,731","6,663",56,54,3,11,347,11
N-Butane (C4H10),lb/hr,107,107,107,107,0,0,0,0,5,0
Butenes (C4H8),lb/hr,187,187,187,187,0,0,0,0,9,0
Pentanes (C5H12),lb/hr,"1,034","1,034","1,034","1,034",0,0,0,0,0,0
Pentenes (C5H10),lb/hr,759,759,759,759,0,0,0,0,0,0
Hexanes (C6H14),lb/hr,"1,793","1,793","1,793","1,793",0,0,0,0,0,0
Hexenes (C6H12),lb/hr,423,423,423,423,0,0,0,0,0,0
Benzene (C6H6),lb/hr,3,3,3,3,0,0,0,0,0,0
Heptanes (C7H16),lb/hr,"2,461","2,461","2,461","2,461",0,0,0,0,0,0
Triptane,lb/hr,"9,625","9,625","9,625","9,625",0,0,0,0,0,0
Heptenes (C7H14),lb/hr,"1,741","1,741","1,741","1,741",0,0,0,0,0,0
Triptene,lb/hr,969,969,969,969,0,0,0,0,0,0
Octanes (C8H18),lb/hr,"14,826","14,826","14,826","14,826",0,0,0,0,0,0
Octenes (C8H16),lb/hr,587,587,587,587,0,0,0,0,0,0
N-Nonanes (C9H20),lb/hr,299,299,299,299,0,0,0,0,0,0
N-Nonenes (C9H18),lb/hr,74,74,74,74,0,0,0,0,0,0
Hexamethylbenzene (C6(CH3)6),lb/hr,-,-,-,-,-,-,-,-,-,-
Tar (C10H8),lb/hr,0,0,0,0,0,0,0,-,0,-
Carbon (Solid),lb/hr,-,-,-,-,-,-,-,-,-,-
Sulfur (Solid),lb/hr,-,-,-,-,-,-,-,-,-,-
Olivine + MgO (Solid),lb/hr,-,-,-,-,-,-,-,-,-,-
Methanol (CH4O),lb/hr,-,-,-,-,-,-,-,-,-,-
Dimethyl ether (C2H6O),lb/hr,"3,761","3,761","3,761",38,"2,894","2,749",145,829,976,829
MDEA (C5H13NO2),lb/hr,-,-,-,-,-,-,-,-,-,-
Ash,lb/hr,-,-,-,-,-,-,-,-,-,-
Char,lb/hr,-,-,-,-,-,-,-,-,-,-
Wood,lb/hr,-,-,-,-,-,-,-,-,-,-
Enthalpy Flow,MMBTU/hr,(49),(49),(48),(36),(6),(6),(0),(2),(2),(2)
