0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Mass fraction,CHARIN,GASIN,TARIN,2-GASPDT,ASH,,WGSRPROD RECYCH2O PURGEH2O STEAMIN2 DRYSYNG CO2+H2S,,,,,8-CLNSYN SYNGFUEL,,SYNGAS,,MEOHPROD MOFFGAS COMBGAS,,AIRIN,14-BFW,SHEATSTM
H2O,0,0.1667,0.1428,0.1564,0,0.0498,0.9597,0.0567,0.9955,0.0065,0,0.0105,0.0105,0.0105,0.0027,0.0001,0.1304,0,1,0.9955
N2,0,0.0129,0,0.0046,0,0.0047,0,0.0007,0,0.0050,0,0.0081,0.0081,0.0081,0.0004,0.0328,0.6770,0.7671,0,0
O2,0,0,0.2983,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205,0.2329,0,0
NO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56E-06,0,0,0
NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0
S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2,0,0.0033,0,0.0589,0,0.0730,0,0,0,0.0772,0,0.1253,0.1253,0.1253,0,0.1399,0,0,0,0
C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,0,0.4486,0,0.6095,0,0.4539,0.0003,0.0896,0,0.4790,0,0.7776,0.7776,0.7776,0.0066,0.4805,0,0,0,0
CO2,0,0.0639,0,0.1380,0,0.4130,0.0397,0.8455,0.0045,0.4266,0.9998,0.0692,0.0692,0.0692,0.0427,0.2400,0.1718,0,0,0.0045
H2S,0,0.0002,0,0.0001,0,0.0001,0,0.0002,0,0.0001,0.0002,0,0,0,0,0,0,0,0,0
CH4,0,0.0500,0,0.0053,0,0.0055,0,0.0073,0,0.0057,0,0.0093,0.0093,0.0093,0.0031,0.0291,0,0,0,0
COS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETHAN-01,0,0.2544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHENO-01,0,0,0.4879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9445,0.0777,0,0,0,0
ASH,0,0,0.0710,0.0272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mass flow (kg h-1),443,5336,5764,15056,409,14647,658,134,3956,13854,5320,8534,6500,2035,1549,485,62589,55162,5188,1891
Molar flow (kmol h-1),36.84,215.63,129.30,953.07,,953.07,35.69,3.50,218.99,913.88,120.88,793.00,603.95,189.05,48.09,47.28,2250.66,1912.00,288.00,104.69
