0,1,2,3,4,5,6,7,8,9,10,11,12
Table 37. Boiler Efficiency,,,,,,,,,,,,
Test No:,1,2,3,4,5,6,7,8,9,10,11,12
Assumed Flue Gas Exit,,,,,,,,,,,,
"Temp, °C",149,149,149,149,149,149,149,149,149,149,149,149
"Losses, kJ/hr",,,,,,,,,,,,
Dry Gas,"151,567","144,099","136,770","141,732","140,892","135,621","135,245","133,210","146,601","143,679","131,680","131,680"
Water in Fuel,"282,907","269,815","254,808","258,958","264,387","285,859","271,497","271,155","253,955","263,713","208,933","498,382"
Combustion of Fuel,,,,,,,,,,,,
Hydrogen,"21,249","20,265","19,139","19,450","19,858","19,735","18,743","18,720","20,141","20,915","18,572","18,091"
Unburned Carbon,"19,846","20,832","19,049","23,230","22,366","24,739","31,711","25,175","21,929","16,662","18,535","30,754"
Sorbent Calcination,0,0,0,0,0,0,"40,729","44,609","11,556","54,114","88,058","71,099"
Radiation and,,,,,,,,,,,,
Convection*,"7,037","6,711","6,337","6,441","6,576","7,024","6,671","6,662","7,737","8,035","7,745","7,541"
Solids,"78,932","91,544","97,704","109,767","107,700","115,622","151,449","114,096","109,597","100,546","58,780","101,625"
Sorbent Sulfation,0,0,0,0,0,0,"(16,811)","(17,228)",(9036),"(12,945)","(18,294)","(16,823)"
Total,"561,536","553,267","533,807","559,578","561,778","588,598","639,235","596,400","583,580","594,719","514,009","842,349"
"Losses, %",,,,,,,,,,,,
Dry Gas,8.6,8.6,8.6,8.8,8.6,7.7,8.1,8.0,7.6,7.2,6.8,7.0
Water in Fuel,16.1,16.1,16.1,16.1,16.1,16.3,16.3,16.3,13.1,13.1,10.8,26.4
Combustion of Fuel,,,,,,,,,,,,
Hydrogen,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.0,1.0,1.0,1.0
Unburned Carbon,1.1,1.2,1.2,1.4,1.4,1.4,1.9,1.5,1.1,0.8,1.0,1.6
Sorbent Calcination,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.7,0.6,2.7,4.5,3.8
Radiation and,,,,,,,,,,,,
Convection*,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Solids,4.5,5.5,6.2,6.8,6.6,6.6,9.1,6.8,5.7,5.0,3.0,5.4
Sorbent Sulfation,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.5,-0.6,-0.9,-0.9
Total,31.9,33.0,33.7,34.8,34.2,33.5,38.3,35.8,29.1,29.6,26.5,44.7
"Boiler Efficiency, %",68.1,67,66.3,65.2,65.8,66.5,61.7,64.2,70.9,70.4,73.5,55.3
,* Assumes 0.4% radiative and convective losses.,,,,,,,,,,,
