0,1,2,3,4,5,6,7
1,Table A-4. Design Coal Analysis for Bobov Dol Coal Mines,,,,,,
C,"oal Properties, guaranteed values","As-Burned, %",,"Moisture-Free, %",,"Moisture- and Ash-Free, %",
M,oisture,,16.00–16.53,–,,–,
A,sh,,40.30–41.63,49.88,,–,
L,"ower Heating Value, kcal/kg (Btu/lb)",,2712  (4882),,,,
H,"igher Heating Value, kcal/kg (Btu/lb",,2917  (5250),3472  (6250),,"6675  (12,014)",
C,arbon,,29.60–30.58,36.63,,73.09,
H,ydrogen,,2.20–2.27,2.72,,5.43,
O,xygen,,5.90–6.10,7.30,,14.57,
N,itrogen,,1.10–1.14,1.36,,2.72,
S,ulfur,,1.70–1.76,2.10,,4.20,
T,otals,,96.80–100.00,100.00,,100.00,
E,mission Parameters – Standards for Plants >50 MW,SO2,% Control,NOx,Ash Particulate,,% Control
U,"ncontrolled Emission (assuming 100% emitted), lb/MMBtu (HHV)*",6.69,,,79.30,,
E,"mission Standard for New Plants after 1992, lb/MMBtu (HHV)",0.48,92.8,0.45,0.15,,99.81
S,"tandard for Old Plants on Bulgarian Coal, lb/MMBtu (HHV)",2.60,61.2,0.74,0.07,,99.91
S,"tandard for Old Plants on Imported Coal, lb/MMBtu (HHV)",1.48,77.8,0.97,0.06,,99.93
A,sh Properties,,Analysis,Median,,,
C,"omposition, % Ash",,50–60,55.0,,,
,SiO2,,23–30,26.5,,,
,Al2O3,,9–18,13.5,,,
,Fe2O3,,1–3,2.0,,,
,CaO,,1–4.5,2.8,,,
,MgO,,NA**,NA,,,
,Na2O,,NA,NA,,,
,K2O,,0.8–3.5,2.2,,,
,SO3,,,,,,
A,"sh Fusion, Leitz in Oxidizing Atmosphere, °C (°F)",,,,,,
,Initial Deformation,,NA,,,,
,Start of Melting,,NA,,,,
,Start of Flowing,,NA,,,,
A,"sh Fusion, Bunte-Baum in Reducing Atmosphere, °C (°F)",,,,,,
,Initial Deformation,,950–1150     (1742–2102),,,,
,Start of Melting,,110–1400     (2012–2552),,,,
,Start of Flowing,,1400–1800     (2552–3272),,,,
,*  High heating value.,,,,,,
,** Not available.,,,,,,
