0,1,2,3,4,5,6
"Table 1 Composition (dry-basis, tar-free, mass fractions) of biomass syngases produced in the fixed-",,,,,,
"bed gasification from wood pellets [23], waste wood chips [5, 22] and turkey feathers [4]",,,,,,
,Wood,Wood,Wood,Wood,Turkey,Turkey
,pellets,pellets,chips,chips,feathers,feathers
Notation,,,SG1,SG2,SG3,SG4
Nitrogen,0.57,0.57,0.58,0.57,0.55,0.60
Carbon monoxide,0.32,0.28,0.28,0.36,0.03,0.07
Hydrogen,0.006,0.005,0.006,0.006,0.005,0.003
Carbon dioxide,0.08,0.13,0.12,0.09,0.40,0.30
Oxygen,0.003,0.003,0.000,0.000,0.000,0.014
Methane,0.012,0.010,0.012,0.010,0.020,0.015
Ethane and propane,0.005,0.002,NA,NA,NA,NA
LHV [MJ/kg],4.81,4.13,4.2,4.50,1.91,1.80
Stoichiometric mixture fraction,0.455,0.488,0.478,0.465,0.630,0.662
NA not available,,,,,,
