0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Table 3.  Continued – 2,,,,,,,,,,,,,,,
R,,,Total,,,,,,,,,,,,
un #,Temp.,Press.,Flow,Space,,,,"Feed Composition, v%",,,,conversion,,"COS, ppm",
,,,,,,,,,,,,,,Blank,Reaction
,,,"Rate,",,,,,,,,,,Cylinder,Product,Product
,oC,psia,SCCM,"Time, s",H2S,SO2,CO,H2,H2O,CO2,N2,H2S,Feed,Mixture,Mixture
369,125,118.7,120,142,0.36,0.18,32.02,20.26,10.00,9.07,28.11,0.8942,20,62,135
370,125,118.7,120,142,0.36,0.18,32.02,20.26,10.00,9.07,28.11,0.7891,21,92,135
371,125,119.7,120,144,0.36,0.18,32.02,20.26,10.00,9.07,28.11,0.7402,21,89,193
372,125,117.7,120,141,0.36,0.18,32.02,20.26,10.00,9.07,28.11,0.7520,21,109,204
373,125,118.7,132,130,0.33,0.16,29.11,18.42,18.18,8.25,25.55,0.6703,20,169,336
374,125,121.7,132,133,0.33,0.16,29.11,18.42,18.18,8.25,25.55,0.6499,25,152,302
375,125,118.7,132,130,0.33,0.16,29.11,18.42,18.18,8.25,25.55,0.582,24,154,320
376,125,118.7,114,150,0.38,0.19,33.71,21.32,5.26,9.55,29.59,0.7115,24,152,237
377,125,121.7,114,154,0.38,0.19,33.61,21.45,5.26,9.54,29.57,0.6578,10,64,183
378,125,121.7,114,154,0.38,0.19,33.61,21.45,5.26,9.54,29.57,0.6821,7,61,216
379,125,118.7,114,150,0.38,0.19,33.61,21.45,5.26,9.54,29.57,0.6316,7,75,330
380,125,119.7,114,151,0.38,0.19,33.61,21.45,5.26,9.54,29.57,0.6298,6,74,193
381,125,119.7,114,151,0.38,0.19,33.61,21.45,5.26,9.54,29.57,0.3957,6,89,187
382,125,120.7,114,152,0.38,0.19,33.61,21.45,5.26,9.54,29.57,0.4566,6,94,147
383,125,120.7,114,152,0.38,0.19,33.61,21.45,5.26,9.54,29.57,0.3991,6,99,124
384,125,120.7,114,152,0.38,0.19,33.61,21.45,5.26,9.54,29.57,0.5082,6,62,253
385,125,123.7,114,156,0.38,0.19,33.61,21.45,5.26,9.54,29.57,0.3885,5,76,231
386,125,121.7,114,154,0.38,0.19,33.61,21.45,5.26,9.54,29.57,0.2779,5,52,221
387,125,121.7,120,146,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.9044,4,62,141
388,125,122.7,114,155,0.38,0.19,33.61,21.45,5.26,9.54,29.57,0.8395,3,85,128
389,125,120.7,120,145,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.8731,5,57,220
390,125,118.7,120,142,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.9287,5,71,141
391,125,118.7,120,142,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.6987,4,52,248
392,125,122.7,120,147,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.3410,5,51,184
393,125,120.7,120,145,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.7553,6,63,139
394,125,121.7,120,146,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.5210,5,123,133
395,125,119.7,120,144,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.5254,5,142,179
396,125,120.7,120,145,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.3428,6,53,99
397,125,120.7,120,145,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.2062,6,89,121
398,125,117.7,120,141,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.8108,5,79,207
399,125,119.7,120,144,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.7348,5,59,224
400,125,120.7,120,145,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.7744,5,72,163
401,125,119.7,120,144,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.8154,5,53,161
402,125,121.7,120,146,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.1779,5,62,193
403,125,119.7,120,144,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.7339,5,45,138
404,125,121.7,120,146,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.8201,5,48,119
405,125,123.7,120,148,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.6095,4,68,153
406,125,119.7,120,144,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.3270,5,70,137
407,125,120.7,120,145,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.2864,6,80,121
408,125,118.7,120,142,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.8602,7,69,106
409,125,118.7,120,142,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.9269,5,60,121
410,125,120.7,120,145,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.9309,4,59,145
411,125,122.7,120,147,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.9027,4,148,178
412,125,122.7,120,147,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.8547,5,125,161
413,125,119.7,120,144,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.8410,4,177,188
414,125,120.7,120,145,0.36,0.18,31.93,20.38,10.00,9.07,28.09,0.7072,4,116,190
