0,1,2
"Table 1. Chemical composition of
the MSW in Oporto in 2014.",,
Substrate properties,Forest residues,PMSW
Elementary analysis (dry ash free),,
N (%),2.4 ± 0.3,1.4 ± 0.2
C (%),43 ± 4.1,48 ± 4.4
H (%),5 ± 0.6,6.3 ± 1.4
O (%),49.6 ± 5.2,43.6 ± 3.6
Humidity (%),11.3 ± 1.7,17.6 ± 2.3
Density (Kg/m3),650 ± 70,247 ± 23
Lower heating value (MJ/Kg biomass),21.2 ± 1.8,14.4 ± 1.1
Mean particle size (mm),5 ± 2,20 ± 10
Proximal analysis (%),,
Ash,0.2 ± 0.1,14.9 ± 1.2
Volatile matter,79.8 ± 3.1,76.62 ± 2.9
Fixed carbon,20 ± 2.5,8.46 ± 1.5
