0,1,2,3,4,5,6,7,8,9
,,,,,,,a,,
Table 3. Flow Rates and Gas Compositions (v/v) of a Methanol-Production Process Based on CR,,,,,,,,,
,,,,,,composition (vol %),,,
process stream,ﬂow rateb (Kmol/h),CH4,CO2,CO,H2,H2O,CH3OH,N2,C2H6
3,5449,1.6,7.8,25.2,65.4,,,,
4c,5993,1.4,7.1,23.0,68.5,,,,
5,22 629,16.5,6.0,7.2,70.3,,,,
6,19 485,19.2,5.1,2.2,63.6,1.9,8.0,,
7,17 537,21.3,5.7,2.4,70.6,,,,
8,544,0.0,0.0,0.0,100.0,,,,
9,16 992,22.0,5.8,2.5,69.6,,,,
10,16 635,22.0,5.8,2.5,69.6,,,,
11,357,22.0,5.8,2.5,69.6,,,,
12d,390,95.3,0.6,0.0,0.0,,,1.1,2.0
13,747,60.3,3.1,1.2,33.3,,,0.6,1.0
aThe stream identiﬁcation numbers correspond to Figure 2. bOn the basis of a feed ﬂow rate (CH4 + CO2) of 1886 Kmol/h.,,,,,,,,,cR = 2.3. dNG
