0,1,2,3,4,5,6,7
,Table 2.2. Various experimental data showing different types of bed material and air additions.,,,,,,
,1,2,3,4,5,6,7 (2 stage)
Feed type,Pine oil,Beech oil,Beech oil,Beech oil,Beech oil,Beech oil,Pine oil
Bed type,Sand,Sand,FB,FB,K46,K46,Sand K46+23
Temperature (°C),790,835,816,813,809,855,810
S/C,1.9,1.0,3.1,3.2,3.2,2.1,1.5
λ (%),0,23,0,26,0,23,0
Carbon to gas (%),65,87,78,88,76,91,85
H2 yield (%),10,15,43,38,46,40,68
,,,,Gas production (Nm3/kg),,,
H2,0.23,0.31,0.88,0.78,0.93,0.91,1.52
CO,0.38,0.40,0.17,0.27,0.32,0.40,0.58
CH4,0.13,0.12,0.15,0.10,0.09,0.08,0.00
CO2,0.05,0.22,0.42,0.46,0.32,0.44,0.29
C2 - C3,0.06,0.04,0.02,0.02,0.02,0.02,0.00
,,,,Gas composition (vol%),,,
H2,26.8,27.8,52.8,46.7,55.5,48.2,62.6
CO,44.7,36.5,10.2,16.2,19.3,21.2,23.9
CH4,15.6,10.5,9.1,6.2,5.4,4.1,0.0
CO2,5.6,20.1,25.1,27.4,19.0,23.1,11.9
C2 - C3,6.7,3.6,1.4,1.5,1.0,0.8,0.0
