0,1,2,3,4,5,6
S/A,NaOH/CO2,"CO2, mg/m3 
CO2, мг/м3","CO2 absorbed, % 
Уловленный  
CO2, %",NaOH/H2S,"H2S, mg/m3 
H2S, мг/м3","H2S absorbed, % 
Уловленный  
H2S, %"
"0,1","1,5",26552,"53,68","4,4","2,93","96,34"
"0,2","1,5",23808,"57,05","3,6","2,96","96,38"
"0,3","1,5",22295,"60,42","3,3","2,79","96,43"
"0,4","1,4",24306,"63,79","3,1","2,84","96,47"
"0,5","1,4",23096,"67,16","2,9","2,98","96,52"
"0,6","1,4",22284,"68,61","2,8","2,95","96,56"
"0,7","1,4",21773,"70,05","2,8","2,75","96,60"
"0,8","1,4",21435,"71,49","2,7","2,81","96,65"
"0,9","1,4",21148,"72,94","2,6","2,93","96,69"
1,"1,4",21056,"74,38","2,6","2,78","96,73"
