0,1,2,3,4,5
,Table 4.,Obtained  values  of  acid  gas  concentrations  at,,,
,,different S/A,,,
,,Таблица 4.  Полученные  значения  концентраций  кислых,,,
,,газов при различных S/A,,,
,,CO2,H2S,COS,CS2
,S/A,,,,
,,,mg/m3/мг/м3,,
,"0,1",56 109,10 307,"0,251","0,936"
,"0,2",84 894,9 042,"0,198","0,362"
Fig. 4.  Dependence  of  HHV syngas  and  CGE  value  on  the,,,,,
,"0,3",102 309,8 164,"0,165","0,188"
S/A ratio,,,,,
,"0,4",112 446,7 556,"0,143","0,115"
Рис. 4.  Зависимость  теплоты  сгорания  синтез-газа  и,,,,,
,"0,5",119 579,7 046,"0,126","0,073"
КПД газификации от S/A,,,,,
,"0,6",124 929,6 577,"0,111","0,046"
,"0,7",127 965,6 243,"0,101","0,032"
,"0,8",130 394,5 901,"0,091","0,022"
,"0,9",131 815,5 626,"0,084","0,016"
,1,132 704,5 368,"0,077","0,011"
,MPC/ПДК,27 000,3,10,10
,,Absorption simulation results,,,
,As  a,"result  of  syngas  purification  simulation,",,,the
,,values of purification efficiency and amount of absorbent,,,
