0,1,2,3,4,5,6,7,8,9,10,11,12,13
Run,ID #  Exit Gas Fugacity (atm),,,,,,"WGS 
appr.-to-
eq.","Rate of CO2 
consumption 
RCO2","Aging  
factor","Age corrected  
rate of CO2 
consumption, 
R0
CO2","Model  
predicted 
R0
CO2","Model  
predicted 
R15","Model predicted 
rate of WGS 
R13"
,H2,CO,CO2,H2O,N2,MeOH,(%),(mol/kg-hr),,(mol/kg-hr),(mol/kg-hr),(mol/kg-hr),(mol/kg-hr)
1,,10.740  35.183  2.037,,0.008  0.612,,3.725,89.5,-1.35,0.97,-1.39,-0.40,0.27,-0.67
2,9.749,35.340  2.417,,0.008  0.638,,4.165,98.8,-1.26,0.97,-1.30,0.08,0.15,-0.07
3,,11.653  35.124  1.836,,0.009  0.598,,3.328,83.5,-1.1,0.95,-1.16,-0.71,0.43,-1.14
4,,13.306  27.464  7.413,,0.048  0.584,,4.362,89.1,-0.46,0.94,-0.49,-0.01,0.58,-0.59
5,,11.663  27.421  8.059,,0.045  0.613,,5.206,91.9,-0.39,0.92,-0.42,-0.26,0.14,-0.41
6,,12.641  27.451  7.572,,0.045  0.591,,4.612,93.5,-0.13,0.90,-0.14,0.09,0.42,-0.34
7,32.530  7.892,,2.868,0.182  3.273,,7.757,77.8,0.5,0.87,0.58,0.28,0.96,-0.68
8,34.279  7.836,,2.660,0.195  3.643,,6.427,71.7,1.29,0.86,1.50,0.79,1.66,-0.88
9,32.541  6.221,,3.020,0.178  4.010,,8.274,106.4,0.14,0.85,0.17,1.11,0.95,0.16
10,,11.860  39.818  2.210,,0.010  0.698,,4.474,82.9,-1.06,0.56,-1.88,-0.96,0.30,-1.26
11,,10.052  29.980  1.617,,0.008  0.512,,2.804,81.3,-1.09,0.54,-2.02,-0.86,0.25,-1.12
12,29.320  6.314,,2.370,0.152  3.229,,5.852,86.9,0.78,0.49,1.60,0.57,0.91,-0.34
13,29.122  5.969,,2.518,0.121  3.325,,6.345,122.1,0.12,0.40,0.30,1.64,1.14,0.49
14,49.923  2.864,,6.383,1.196  6.800,,6.389,111.6,3.84,1.00,3.84,5.84,5.68,0.17
15,49.366  3.256,,6.375,1.189  6.572,,5.895,97.6,4.76,1.00,4.76,6.22,6.26,-0.04
16,36.407  2.941,,4.750,,0.729  23.936  3.431,,96.8,3.51,1.00,3.51,4.57,4.62,-0.04
17,36.033  2.705,,4.748,,0.754  24.134  3.686,,100.7,2.59,1.00,2.59,3.64,3.63,0.01
18,35.878  5.375,,6.162,0.592  1.283,,4.880,83.3,4.01,1.00,4.01,3.35,3.71,-0.36
19,35.533  4.761,,6.313,0.577  1.325,,5.598,98.0,2.62,1.00,2.62,2.88,2.91,-0.04
20,33.788  5.127,,9.351,0.874  1.211,,3.489,84.7,5.97,1.00,5.97,5.98,6.30,-0.32
21,38.020  5.416,,,10.946  1.086  1.423,,4.479,84.9,6.48,1.00,6.48,6.45,6.79,-0.34
22,29.628  4.945,,8.164,0.685  1.031,,2.334,85.8,5.79,1.00,5.79,7.17,7.45,-0.28
23,29.027  4.409,,8.387,0.735  1.064,,2.967,90.1,3.43,1.00,3.43,4.19,4.36,-0.17
24,,11.157  34.328  2.550,,0.014  0.610,,3.904,72.8,-3.64,1.00,-3.64,-1.63,0.22,-1.85
25,,11.308  34.268  2.527,,0.014  0.606,,3.800,72.2,-3.64,1.00,-3.64,-1.59,0.25,-1.83
26,,11.724  33.085  3.234,,0.023  0.600,,3.805,59.0,-6.7,1.00,-6.70,-2.56,0.19,-2.75
