0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1128,,,,,,,,,,,,,,,,,,,B. Bielowicz
"Gas density
–",–,–,0.55,− 0.67,–,"0.56
–",− 0.93,0.73,− 0.99,1.00,–,–,"–
–",–,− 0.62,− 0.63,− 0.64,− 0.63,− 0.78
"H2S
–",–,− 0.63,0.61,–,–,"0.66
0.63",–,–,–,–,–,–,"–
–",–,− 0.74,− 0.75,− 0.76,− 0.77,− 0.62
"N2
–",–,–,–,–,0.67,"–
–",–,–,–,–,–,–,"–
–",–,–,–,–,–,–
"CH4
–",–,–,–,0.79,–,"–
–",0.58,–,–,–,–,–,"–
–",–,–,–,–,–,–
"CO2
–",–,− 0.54,0.56,− 0.66,–,"0.56
–",− 0.93,0.73,− 0.99,–,–,–,"1.00
–",–,− 0.63,− 0.63,− 0.64,− 0.64,− 0.78
"CO
–",− 0.58,–,− 0.54,0.64,–,"− 0.54
–",0.91,− 0.80,–,− 0.99,–,–,"− 0.99
–",–,0.61,0.62,0.63,0.63,0.77
"O2
–",0.84,–,–,–,–,"–
–",− 0.61,–,− 0.80,0.73,–,–,"0.73
–",–,–,–,–,–,–
"H2
–",–,–,–,0.73,–,"–
–","–
–",− 0.61,0.91,− 0.93,0.58,–,"− 0.93
–",–,–,–,–,–,0.68
"Gas density
–",–,− 0.99,1.00,–,− 0.64,"0.62
–",–,–,− 0.54,0.56,–,–,"0.63
0.56",− 0.65,− 0.82,− 0.73,− 0.76,− 0.80,− 0.55
"H2S
–",–,− 0.67,0.63,–,–,"0.62
–",–,–,–,–,–,–,"0.66
–",− 0.71,− 0.59,–,− 0.55,− 0.58,–
"600–950 °C
N2
–",–,0.54,− 0.65,–,–,"− 0.64
–",–,–,–,–,–,0.67,"–
–",–,–,–,–,–,–
"CH4
–",–,–,–,–,–,"–
–","0.73
–",–,0.64,− 0.66,0.79,–,"− 0.67
–",–,–,–,–,–,0.60
"CO2
–",–,− 0.99,–,–,− 0.65,"0.63
1.00",–,–,− 0.54,0.56,–,–,"0.61
0.55",− 0.65,− 0.81,− 0.70,− 0.74,− 0.78,–
"CO
–",–,–,− 0.99,–,0.54,"− 0.67
− 0.99",–,–,–,− 0.54,–,–,"− 0.63
–",0.66,0.80,0.70,0.74,0.78,–
"O2
–",–,–,–,–,–,"–
–","–
–",0.84,− 0.58,–,–,–,"–
–",–,–,–,–,–,–
"H2
–",–,–,–,–,–,"–
–","Gas composition up to 1050 °C (%)
–
–",–,–,–,–,–,"–
–","TGA—mass loss at a given temperature
–",–,0.57,0.55,0.56,–
"(continued)
Table 4 
Temperature
Gas component
 H2
1 3",O2,CO,CO2,CH4,N2,"H2S
 Gas density at 25 * C",H2,O2,CO,CO2,CH4,N2,"H2S
 Gas density at 25 * C",200,400,600,700,800,815
