0,1,2,3,4,5,6,7,8,9,10,11
,International Journal of Energy and Environmental Engineering (2019) 10:335–346,,,,,,,,,,339
Table 3,,Results of gasification tests,,,,,,,,,
Test,Gas yield,H2,CO,CO2,CH4,C2H6,N2,LHV (MJ/Nm3),Cold gas,Char/biomass,τ resid.
,(Nm3/kgfeed),,,,,,,,efficiency,,char
,,,,,,,,,,,(min)
I,1.02,9.7,10.4,13.3,4.0,1.3,61.3,4.61,0.27,0.39,13
II,1.00,9.4,9.9,14.0,3.3,0.9,62.5,4.03,0.26,0.38,8
III,1.38,9.6,11.3,13.7,2.9,0.7,61.8,3.97,0.36,0.41,8
IV,0.99,11.9,13.6,12.9,4.5,1.3,55.7,5.46,0.36,0.39,8
V,1.40,9.3,11.1,13.8,2.9,0.6,62.3,3.84,0.47,0.40,7
VI,1.67,10.4,11.6,16.5,3.8,0.7,57.1,4.40,0.55,0.37,10
VII,1.78,11.2,10.9,15.0,2.8,0.7,59.4,4.02,0.17,0.31,9
