0,1,2,3,4,5,6,7,8,9,10,11,12
TABLE I.,Impact of operating parameters on fuel properties of,,,"torrefied biomass. ad, air-dried; daf, dry and ash free.",,,,,,,,
,,,,,,"Proximate analysis (wt. %, ad)",,,"Ultimate analysis (wt. %, daf)",,,
,Mass,Energy,Higher heating,,,,,,,,,
Samples,yield (%),yield (%),value (MJ/kg),MC,VM,FC,A,[C],[H],[N],[O]a,[S]
,(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),,,,,,,,,,
Raw RH,,,14.735 6 0.31,11.085 6 0.1,68.646 6 0.12,6.869 6 0.22,13.400 6 0.08,41.978,13.334,0.765,43.923,0.000
,,,,,,,,(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5)
30-TRH-210,91.133,93.314,15.087 6 0.17,4.245 6 0.09,63.068 6 0.19,17.305 6 0.25,15.382 6 0.13,,,,,
30-TRH-230,89.051,92.448,15.297 6 0.28,2.948 6 0.12,61.518 6 0.08,19.715 6 0.19,15.820 6 0.07,42.635,12.820,0.722,43.823,0.000
,,,,,,,,(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5)
30-TRH-250,85.120,90.048,15.588 6 0.12,3.349 6 0.10,57.171 6 0.03,21.888 6 0.14,17.592 6 0.16,,,,,
30-TRH-270,79.258,85.923,15.974 6 0.08,2.971 6 0.14,54.251 6 0.28,22.999 6 0.11,19.778 6 0.08,46.662,12.286,1.178,39.874,0.000
,,,,,,,,(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5)
30-TRH-290,71.929,80.020,16.392 6 0.20,3.491 6 0.02,51.236 6 0.40,24.580 6 0.17,20.693 6 0.13,,,,,
30-TRH-310,65.866,74.731,16.718 6 0.23,3.075 6 0.08,42.229 6 0.16,29.928 6 0.08,24.769 6 0.21,50.953,10.779,1.097,37.171,0.000
,,,,,,,,(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5)
30-TRH-330,55.840,65.288,17.228 6 0.41,2.580 6 0.01,35.326 6 0.09,33.784 6 0.34,28.309 6 0.27,,,,,
45-TRH-210,90.389,93.098,15.101 6 0.22,4.717 6 0.41,63.011 6 0.12,16.577 6 0.94,15.695 6 0.39,42.421,13.012,0.700,43.867,0.000
,,,,,,,,(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5)
45-TRH-230,88.397,92.091,15.351 6 0.18,4.355 6 0.65,60.374 6 0.22,19.054 6 0.68,16.217 6 0.23,,,,,
45-TRH-250,84.910,90.020,15.621 6 0.24,4.708 6 0.23,57.605 6 0.21,19.934 6 0.19,17.753 6 0.57,43.927,12.409,0.877,42.787,0.000
45-TRH-270,78.195,85.141,16.044 6 0.03,4.129 6 0.17,54.191 6 0.06,21.806 6 0.27,19.874 6 0.11,46.832,11.958,0.921,40.289,0.000
45-TRH-290,71.861,79.920,16.387 6 0.21,2.488 6 0.87,49.362 6 0.47,26.381 6 0.09,21.769 6 0.32,48.293,10.904,0.853,39.950,0.000
45-TRH-310,65.166,74.372,16.816 6 0.08,3.982 6 0.55,39.155 6 0.72,31.594 6 0.14,25.269 6 0.45,51.621,9.894,1.078,37.407,0.000
45-TRH-330,55.593,65.546,17.373 6 0.37,3.322 6 0.33,31.297 6 0.34,35.510 6 0.41,29.871 6 0.25,52.745,9.359,1.015,36.881,0.000
60-TRH-210,89.578,92.908,15.282 6 0.15,3.759 6 0.11,62.541 6 0.20,17.833 6 0.18,15.866 6 0.31,42.462,12.878,1.005,43.655,0.000
,,,,,,,,(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5)
60-TRH-230,87.672,92.097,15.478 6 0.34,3.533 6 0.19,59.221 6 0.34,19.775 6 0.24,17.470 6 0.22,,,,,
60-TRH-250,83.593,89.112,15.708 6 0.38,2.317 6 0.16,56.493 6 0.07,23.105 6 0.09,18.086 6 0.13,44.131,11.858,1.214,42.797,0.000
,,,,,,,,(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5)
60-TRH-270,77.530,84.972,16.149 6 0.48,3.070 6 0.04,52.745 6 0.27,25.277 6 0.20,18.908 6 0.15,,,,,
60-TRH-290,70.681,79.023,16.474 6 0.08,3.336 6 0.09,48.362 6 0.15,27.397 6 0.15,20.906 6 0.09,48.718,10.741,1.158,39.383,0.000
,,,,,,,,(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5)
60-TRH-310,63.723,73.419,16.977 6 0.14,3.344 6 0.05,38.568 6 0.28,33.253 6 0.31,24.835 6 0.12,,,,,
60-TRH-330,53.975,64.384,17.576 6 0.22,3.216 6 0.10,28.988 6 0.21,35.176 6 0.14,32.621 6 0.16,53.205,9.137,0.984,36.674,0.000
,(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),,,,,,,,,,
Raw SB,,,16.224 6 0.16,5.743 6 0.14,80.213 6 0.41,12.920 6 0.22,1.123 6 0.38,47.129,14.135,0.816,37.920,0.000
,,,,,,,,(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5)
30-TSB-210,92.294,89.019,16.821 6 0.18,4.353 6 0.18,76.492 6 0.23,15.972 6 0.07,3.182 6 0.21,,,,,
30-TSB-230,87.402,83.233,17.036 6 0.29,4.332 6 0.08,69.726 6 0.14,21.267 6 0.11,4.676 6 0.23,50.761,13.652,0.942,34.645,0.000
,,,,,,,,(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5)
30-TSB-250,83.669,78.757,17.236 6 0.35,3.106 6 0.16,62.029 6 0.27,28.947 6 0.20,5.918 6 0.19,,,,,
30-TSB-270,74.116,67.452,17.827 6 0.19,3.389 6 0.08,57.164 6 0.12,30.647 6 0.31,8.800 6 0.18,55.218,12.469,1.132,31.181,0.000
,,,,,,,,(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5)
30-TSB-290,69.498,59.853,18.838 6 0.07,3.091 6 0.12,54.290 6 0.19,32.014 6 0.08,10.604 6 0.25,,,,,
30-TSB-310,55.901,45.769,19.815 6 0.33,2.701 6 0.06,46.805 6 0.25,37.853 6 0.14,12.642 6 0.16,64.874,11.375,0.927,22.824,0.000
,,,,,,,,(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5)
30-TSB-330,50.670,40.080,20.510 6 0.39,3.276 6 0.14,39.271 6 0.16,41.882 6 0.19,15.571 6 0.24,,,,,
45-TSB-210,91.920,88.204,16.907 6 0.81,5.207 6 0.37,75.990 6 0.05,16.428 6 0.64,2.375 6 0.26,49.513,13.843,0.875,35.769,0.000
,,,,,,,,(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5),(cid:5) (cid:5) (cid:5)
45-TSB-230,87.089,82.621,17.101 6 0.16,4.822 6 0.50,68.891 6 0.25,20.678 6 0.57,5.609 6 0.13,,,,,
45-TSB-250,83.079,77.726,17.341 6 0.29,5.691 6 0.61,63.898 6 0.29,22.721 6 0.11,7.690 6 0.09,54.237,12.707,1.152,31.904,0.000
45-TSB-270,74.554,67.262,17.983 6 0.15,4.266 6 0.29,57.802 6 0.46,27.959 6 0.23,9.973 6 0.12,55.132,12.185,0.955,31.728,0.000
45-TSB-290,68.838,58.050,19.239 6 0.06,3.825 6 0.17,51.861 6 0.18,32.540 6 0.38,11.774 6 0.38,58.790,11.935,0.794,28.481,0.000
45-TSB-310,55.000,44.360,20.115 6 0.40,4.555 6 0.71,43.484 6 0.65,38.832 6 0.19,13.129 6 0.21,63.642,11.797,1.021,23.540,0.000
45-TSB-330,49.723,38.840,20.769 6 0.36,4.211 6 0.49,38.641 6 0.31,40.929 6 0.30,16.219 6 0.29,66.963,11.415,1.082,20.540,0.000
60-TSB-210,91.318,86.640,17.099 6 0.14,5.034 6 0.02,74.845 6 0.29,17.664 6 0.11,2.457 6 0.13,49.829,13.891,1.159,35.121,0.000
