0,1,2,3,4,5
"parameters, reported by Maffei et al. (2012).",,,,,
Table 2: Stream properties and composition,,,,,
,Coal,Air,Steam,Syngas,
,,,,Composition,
Operating parameters,,,,Experimental,Predicted
Mass Flow [kg/h],7.0,8.87,4.20,18.5,17.6
Volume flow [Nm3/h],-,6.91,5.23,20.4,20.1
Temperature [°C],25.0,75.0,120.0,270.0,227.0
Pressure [MPa],0.14,0.14,0.14,0.107,0.11
LHV [MJ/kg],20.8,-,-,7.27,6.23
Specific heat [kJ/kg K],0.19,1.01,1.67,1.51,1.55
Stream composition (molar,,,,,
fractions),,,,,
CO,-,0.000,0.000,0.169,0.188
CO2,-,0.000,0.000,0.123,0.068
H2,-,0.000,0.000,0.342,0.247
N2,-,0.767,0.000,0.263,0.283
CH4,-,0.000,0.000,0.020,0.017
H2S,-,0.000,0.000,0.012,0.004
COS,-,0.000,0.000,0.001,0.000
O2,-,0.206,0.000,0.000,0.000
Ar,-,0.009,0.000,0.003,0.000
H2O,-,0.018,1.000,0.067,0.185
Other (C2H6 and C3H8),-,0.000,0.000,0.000,0.000
