0,1
"T A B L E 4
The fermenter's chemical reactions and operating parameters in the hydrated alcohol production process.",
Chemical reactions,Conversion (%)
"(1) Glucose
C12H22O11 þ H2O ! 2C6H12O6",100.00
"(2) Ethanol
C6H12O6 ! 2CH3CH2OH þ 2CO2",90.48
"(3) Glycerol
ÞCH OH
C6H12O6 þ 2H2 ! 2CH2 OH
ÞCH2OH",2.67
"(4) Acetic acid
C6H12O6 þ 2H2O ! 2CH3COOH þ 2CO2 þ 4H2",1.19
Parameters,
"Mass flow (inlet)
(kg/h)",241529.57
Temperature ((cid:3)C),27.00
Pressure (kPa),170.00
Reactor volume (m3),4040.00
Reactor diameter (m),15.08
