0,1,2,3
matter were typically a primary indication of high production rate of H2 and tar respectively [15].,,,
Table 1,,,
,"Properties of food waste, paper and yard waste [14]",,
Proximate Analysis (%),,,
,Food waste,Paper,Yard waste
Moisture content,70,10.2,60
Ash content,5.0,5.4,0.5
Volatile matter,21.4,75.9,30
content,,,
Fixed carbon,3.6,8.4,9.5
content,,,
Ultimate Analysis (%),,,
,Food waste,Paper,Yard waste
C,73.0,43.3,46.0
H,11.5,5.8,6.0
O,14.8,44.3,38.0
N,0.4,0.3,3.4
S,0.1,0.2,0.3
Ash,0.2,6,6.3
