0,1,2,3,4,5,6
Table 2. Eﬀect of,the ER and Temperature on Product Distributiona,,,,,
,,,product mass distribution (wt %),,,syngas yield (Nm3 kg−1 of S-MSW)
ER,temperature (°C),syngas,tarb,char,total,N2-freec
0,550,60.1 ± 4.7,9.9 ± 0.4,16.9 ± 0.5,1.0 ± 0.1,0.2 ± 0.0
,650,64.1 ± 3.6,11.0 ± 0.3,11.9 ± 0.3,1.1 ± 0.1,0.3 ± 0.0
,750,66.7 ± 2.5,8.8 ± 0.2,10.7 ± 0.3,1.2 ± 0.1,0.4 ± 0.0
,850,68.8 ± 3.8,8.0 ± 0.4,11.6 ± 0.3,1.2 ± 0.1,0.4 ± 0.0
0.2,550,64.9 ± 3.6,4.5 ± 0.2,12.3 ± 0.5,1.3 ± 0.1,0.4 ± 0.0
,650,70.7 ± 4.8,6.3 ± 0.3,9.2 ± 0.2,1.4 ± 0.1,0.5 ± 0.0
,750,73.4 ± 3.1,4.8 ± 0.3,7.1 ± 0.4,1.4 ± 0.1,0.6 ± 0.0
,850,74.3 ± 1.8,3.5 ± 0.2,5.3 ± 0.3,1.4 ± 0.0,0.6 ± 0.0
0.4,550,79.4 ± 2.8,2.8 ± 0.1,8.7 ± 0.4,2.2 ± 0.1,0.6 ± 0.0
,650,83.6 ± 2.5,2.2 ± 0.1,5.5 ± 0.2,2.3 ± 0.1,0.8 ± 0.0
,750,84.4 ± 1.9,1.8 ± 0.2,5.5 ± 0.3,2.3 ± 0.1,0.8 ± 0.0
,850,86.0 ± 3.6,1.5 ± 0.1,4.1 ± 0.2,2.4 ± 0.2,0.8 ± 0.0
0.6,550,85.3 ± 2.4,2.2 ± 0.1,6.1 ± 0.4,3.1 ± 0.1,0.8 ± 0.0
,650,87.5 ± 5.2,1.4 ± 0.1,3.6 ± 0.1,3.2 ± 0.3,0.9 ± 0.0
,750,87.9 ± 3.9,1.2 ± 0.1,3.1 ± 0.1,3.2 ± 0.2,0.9 ± 0.0
,850,89.0 ± 3.2,0.9 ± 0.0,2.7 ± 0.2,3.2 ± 0.2,1.0 ± 0.0
0.8,550,87.3 ± 3.0,1.0 ± 0.1,3.0 ± 0.2,4.0 ± 0.2,0.9 ± 0.0
,650,88.4 ± 3.3,0.6 ± 0.0,2.3 ± 0.1,4.0 ± 0.2,0.9 ± 0.0
,750,89.1 ± 2.9,0.6 ± 0.0,1.8 ± 0.1,4.0 ± 0.2,1.0 ± 0.0
,850,89.7 ± 4.1,0.4 ± 0.0,2.1 ± 0.1,4.0 ± 0.3,1.0 ± 0.0
"aThe error bars represent the standard deviation of three independent duplicate tests. bThe moisture content is excluded. cFor N2-free syngas yield,",,,,,,
