0,1,2
,Green waste pellets,Wood pellets
Proximate analysis (wt.% dry basis),,
Volatile matter,79.31,82.48
Ash,2.69,0.88
Fixed carbon,18.00,16.64
Ultimate analysis (wt.% dry ash-free),,
C,50.20,49.76
H,5.76,5.96
N,0.36,0.14
O1,43.68,44.14
H/C2,1.38,1.44
O/C2,0.65,0.67
Chemical Analysis (wt.% dry basis),,
Extractives,8.81,9.99
Lignin,27.78,26.08
Hemicelluloses,24.04,26.29
Cellulose,39.36,37.64
Inorganic elements (mg/kg of biomass dry basis ),,
Iron (Fe),391.77,89.07
Calcium (Ca),2070,838.53
Potassium(K),163.72,94.40
Magnesium(Mg),220.24,45.88
Silicon (Si),1218.41,127.86
Energy content,,
HHV (MJ/kg),19.25,19.51
HHV(MJ/kg daf),19.78,19.68
