0,1,2,3,4,5,6,7,8
Table 5. Composition of the produced gas at the exit of the reactor during Phase 2,,,,,,,,
,,H2 (%),,CO (%),,CO2 (%),,CH4 (%)
Steady,,,,,,,,
State,Reactor 1,Reactor 2,Reactor 1,Reactor 2,Reactor 1,Reactor 2,Reactor 1,Reactor 2
Number,,,,,,,,
11,9%,13%,8%,15%,50%,42%,33%,30%
12,9%,12%,8%,10%,51%,47%,32%,31%
13,10%,11%,8%,9%,52%,49%,31%,32%
14,13%,11%,10%,7%,49%,50%,28%,33%
15,14%,13%,10%,8%,48%,48%,28%,31%
16,16%,15%,11%,10%,47%,48%,26%,28%
17,19%,20%,13%,13%,44%,43%,24%,24%
18,7%,10%,7%,10%,48%,43%,38%,37%
19,6%,8%,6%,7%,50%,46%,38%,39%
20,18%,20%,13%,17%,45%,40%,24%,23%
21,25%,24%,21%,18%,34%,37%,20%,21%
22,22%,21%,15%,13%,41%,44%,22%,22%
23,21%,24%,14%,15%,43%,40%,22%,21%
24,22%,21%,15%,15%,41%,41%,22%,23%
