0,1,2,3,4,5,6,7,8,9
,Table 5  Lignocellulosic and nutrient analysis date of torrefied food waste,,,,,,,,
,Temperature,,,,,,,,
,230 °C(± 3%),,,260 °C(± 5%),,,290 °C(± 3%),,
Heating rates (oC/min),10,20,30,10,20,30,10,20,30
Hemi-cellulose (%),0.15,0.12,0.12,0.1,0.1,0.1,0.1,0.1,0.1
Cellulose (%),8,7.7,7.7,7,6.8,6.8,4,3.6,3.5
Lignin (%),62.6,64.0,64.4,71.4,73.0,73.3,77.2,80.0,80.0
Crude protein (%),5.50,5.5,5.4,3.0,2.8,2.8,0.8,0.6,0.6
Starch (%),3.8,3.8,3.8,2.8,2.7,2.7,2.1,2.1,2.1
Lipids (%),1.01,1.0,0.98,0.8,0.8,0.76,0.1,0.1,0.1
