0,1,2,3,4,5,6,7,8,9,10,11,12,13
Table 10,Summary of selected process streams for the IBB process,,,,,,,,,,,,
Stream ID,,,,,,,,,,,,,
Parameter,Unit,SYNG-1,MEOHREG,CO2RC-1,SYNG-11,MEOHFEED,BIOG-2,BIOMTN,MEOH-1,MEOH,TAILS-0,WWATER-T,FLUE-7
Temperature,C,815.0,80.0,61.9,60.0,250.0,5.0,35.0,250.0,4.0,21.9,31.3,120.0
Pressure,bar,1.0,1.8,1.2,1.0,50.0,4.0,79.6,47.0,1.2,1.0,1.0,1.0
Total mole flow,kmol/day,9125.1,5214.3,161.3,7207.5,4498.7,2929.5,1726.3,3068.6,457.3,9169.3,1312.7,"12,250.4"
Mole fractions,,,,,,,,,,,,,
CH4,,5.07,0.00,0.26,5.69,0.00,58.99,97.11,0.00,0.00,0.58,0.00,0.00
H2,,19.59,0.00,0.00,62.48,74.50,7.69,1.30,39.32,0.00,13.16,0.00,0.00
CO,,11.95,0.00,0.07,14.53,0.00,1.79,0.15,0.00,0.00,0.47,0.00,0.00
CO2,,18.02,0.00,20.22,15.62,24.83,27.39,1.16,13.11,0.12,10.03,0.00,21.58
H2O,%,41.36,0.01,0.00,0.00,0.01,0.00,0.01,23.31,0.84,2.09,81.24,23.41
N2,,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,55.59,0.00,41.61
C2H2,,0.07,0.00,0.37,0.05,0.00,0.12,0.00,0.00,0.00,0.03,0.00,0.00
C2H4,,1.53,0.00,0.93,1.39,0.00,3.41,0.00,0.00,0.00,0.43,0.00,0.00
CH3OH,,0.00,99.54,75.44,0.06,0.00,0.16,0.27,23.30,99.03,2.33,18.76,0.00
H2S,ppmmol,106.4,0.0,1133.7,17.0,0.0,41.9,0.7,0.0,0.0,92.4,0.0,0.0
NH3,,567.3,0.0,"22,834.5",1.4,0.0,3.4,0.1,0.0,0.0,561.4,0.0,0.0
