0,1,2
Table 3.3. Gasification results done at different temperatures of the staged system,,
Feed type,pine,pine
Liquid feed (kg/h),0.51,0.62
Bed Type: sand (kg),5.0,5.0
":
inert (kg)",3.6,3.6
: K46 (kg),5.0,5.0
: K23 (kg),0.0,0.0
T fluid bed (˚C),496,788
T fixed bed (˚C),690,828
S/C,2.6,2.2
Carbon to Gas (%),70,61
H2 yield (%),64,58
,Gas Production (Nm3/kg),
H2,1.28,1.16
CH4,0.00,0.00
CO,0.28,0.25
CO2,0.39,0.33
C2-C3,0.00,0.00
,"Gas composition (vol%, N2 free)",
H2,63.8,62.7
CH4,0.1,0.0
CO,14.0,13.7
CO2,19.3,18.0
C2-C3,0.0,0.0
