0,1,2,3,4,5,6,7,8,9,10,11,12
"Table 6.4.  Syngas feeds compositions and flows after shift and 
  
  
  
  
  
  
CO2 removal",,,,,,,,,,,,
Component,"Vol % 
  m3/h",,m3/h,m3/h,m3/h,m3/h,m3/h,m3/h,m3/h,m3/h,m3/h,m3/h
H2/CO ratio,Raw  feed,,0.75,0.87,1.00,1.11,1.25,1.40,1.50,1.60,1.70,1.80
H2,30.76,21130,28681,31137,33451,35130,37159,39018,40131,41161,42114,42994
CO,66.61,45758,38207,35751,33437,31758,29729,27870,26757,25727,24774,23894
CH4,0.1,66,66,66,66,66,66,66,66,66,66,66
CO2,1,690,690,687,687,687,687,687,687,687,687,687
H2O,0.68,464,464,464,464,464,464,464,464,464,464,464
N2,0.58,397,397,397,397,397,397,397,397,397,397,397
Ar,0.27,188,188,188,188,188,188,188,188,188,188,188
Totals,100,68693,68693,68690,68690,68690,68690,68690,68690,68690,68690,68690
"CO shifted, 
m3/h",,,7551,10007,12321,14000,16029,17888,19001,20031,20984,21864
"H2 formed, 
m3/h",,,7551,10007,12321,14000,16029,17888,19001,20031,20984,21864
"CO2 removed, 
m3/h",,,7551,10011,12324,14003,16033,17891,19005,20034,20987,21867
"H2O used  , 
lb/h",,,13350,17692,21781,24750,28338,31623,33592,35411,37096,38652
