0,1,2,3,4,5,6,7
Table 3,,,,,,,
,"Biochar  compositions  based  on  biomass  type  and  temperatures.  Biomass  produces  biochar  with  various  carbon,  hydrogen,  oxygen,",,,,,,
,"nitrogen, and ash contents. The best biochar yields require proper substrate selection and temperature optimization",,,,,,
Feedstock,Process tem-,,Biochar properties (%),,,,Reference
,perature (°C),,,,,,
,,Carbon,Nitrogen,Hydrogen,Oxygen,Ash,
Animal dung,800,27.78,1.67,3.98,20.3,34.00,Zhou et al. (2020a)
Bamboo,500–900,54.49,0.19,6.15,37.1,Not reported,Tong et al. (2020)
Banana peel,600,67.50,0.36,Not reported,16.70,22.58,Bong et al. (2022)
Crop residues,600,50.00,Not reported,1.50,6.00,35.00,Hong et al. (2020)
Samanea saman seeds,400–700,62.66,3.45,2.06,31.83,13.18,Mishra et al. (2020a)
Madhuca indica seeds,450–550,60.27,3.19,2.27,34.27,Not reported,Mishra et al. (2020b)
