0,1,2,3,4,5,6,7,8
,Figure 2 Volumetric syngas composition and heating values for residue category,,,,,,,
Table 2 Producer gas parameters for various feedstock categories,,,,,,,,
Parameter,F1,F2,F3,F4,F5,F6,F7,F8
Stoichiometric amount of air required,5.24,5.04,5.54,4.89,5.41,4.94,5.28,5.00
Fuel Equivalent ratio (ER),0.28,0.34,0.31,0.23,0.32,0.26,0.27,0.23
Actual air-fuel ratio,1.48,1.69,1.70,1.12,1.71,1.31,1.42,1.17
Fraction of tar generated in g/Nm3,23.75,3.57,43.07,4.86,33.19,4.43,27.78,3.57
Molecular Weight of gas (MWg)(g/mol),25.01,27.32,25.00,23.88,25.77,25.03,24.44,23.56
Specific mass of the producer gas (kg gas/kg feedstock),1.51,1.69,1.70,1.21,1.71,1.36,1.25,1.23
The density of the producer gas (kg gas/Nm3 gas),1.04,1.14,1.04,1.00,1.07,1.04,1.02,0.98
Energy released per kg of feedstock (MJ/kg),7.58,10.06,8.61,5.37,9.19,6.81,5.96,5.63
Specific gas yield Vg (Nm3/kg feedstock),1.45,1.48,1.63,1.21,1.59,1.31,1.23,1.25
