0,1,2,3,4
Level of subsidy of Initial Invest-,,,,
ment cost (%),,0,50.00,100.00
Electricity selling tariffs,,0.185,0.137,0.240
,Table A.6 Syngas composition and sustainable residue density for sensitivity analysis,,,
,,,,d (kg/km2 day)
Scenario,,Volumetric syngas composition (%),,
,H2,,8.75-14.18,
,CO,,13.57-20.39,328.77-1298.63
F1,CH4,,2.92-6.70,
,H2,,2.66-17.33,
,CO,,13.60-24.67,109.59-432.88
F2,CH4,,3.80-14.18,
,H2,,13.63-14.18,
,CO,,16.64-19.61,57.53-432.88
F3,CH4,,2.92-3.15,
,H2,,8.75-11.05,
,CO,,13.57-15.90,57.53-432.88
F4,CH4,,3.08-3.45,
,H2,,11.90-14.18,
,CO,,16.64-20.39,219.18- 865.75
F5,CH4,,2.92-6.70,
,H2,,8.75-11.90,219.18-865.75
F6,CH4,,3.08-6.70,
,H2,,8.75-14.18,
,CO,,13.57-19.61,115.07-865.75
F7,CH4,,2.92-3.45,
,H2,,2.12-14.00,
,CO,,10.83-22.00,57.53-432.88
F8,CH4,,0.17-11.60,
