0,1,2,3,4,5,6,7,8,9,10,11
T,able 6. Chemical composition of the studied materials used in this research.,,,,,,,,,,
Article I,,,,,,,Articles II and III,,,,Average
,Lake bottom biomass,,,,Pulp and paper manufacturing process side-streams,,,,,,values
Parameter,ML,EL,P I,P II,P III,P IV,P V,P VI,P VII,P VIII,of pulp
,,,,,,,,,,,samples
(%),,,,,,,,,,,
Moisture content,22.2,56.9,77.30,75.80,87.70,90.00,78.00,66.59,82.17,71.00,78.6
(% dry matter),,,,,,,,,,,
Lost-on-ignition,14.5,93.5,94.81,92.92,92.89,95.72,94.13,91.05,76.48,91.99,91.2
Ash content,79.6,5.1,5.19,7.08,7.11,4.28,5.87,8.95,23.52,8.01,8.8
Glucan,54.0,57.3,56.54,43.72,39.16,42.18,16.21,40.58,2.43,29.87,33.8
Xylan,31.5,16.4,6.82,4.01,6.26,8.45,2.48,6.95,0.43,5.09,5.1
Mannan,2.3,8.1,5.52,2.67,8.17,7.11,3.25,7.58,0.85,5.38,5.1
Arabinan,5.9,7.7,0.90,0.58,0.89,0.81,1.71,0.77,0.29,0.83,0.8
Galactan,5.1,8.6,1.11,0.99,1.71,1.54,1.41,1.36,0.87,1.26,1.3
Rhamnan,1.2,2.0,0.03,0.34,0.29,0.21,0.30,0.13,0.46,0.23,0.2
Total sugars,6.9,23.6,70.91,52.32,56.48,60.31,27.77,57.36,5.33,42.66,46.6
Klason Lignin,8.2,46.8,19.10,19.15,24.87,24.18,37.62,22.42,36.05,31.31,26.8
ASL,0.7,1.8,0.51,2.63,0.81,0.84,1.07,0.63,4.15,1.36,1.5
Extractives,1.7,12.8,7.50,10.05,7.71,10.19,26.70,8.55,9.98,9.26,11.2
Carbon,10.3,52.3,48.70,47.44,48.78,51.09,57.94,47.62,44.68,50.62,49.6
Hydrogen,1.2,5.8,6.14,6.39,6.07,6.45,6.51,5.98,5.21,6.25,6.1
Nitrogen,0.5,2.3,0.05,2.57,0.56,0.64,1.12,0.39,5.29,1.62,1.5
Sulphur,0.2,0.4,0.43,0.73,0.18,0.33,0.09,0.56,2.57,0.63,0.7
Oxygen,6.4,33.7,39.48,35.80,37.31,37.20,28.48,36.51,18.74,32.87,33.3
HHV (MJ/kg),2.9,20.2,19.48,19.23,19.40,20.40,22.31,18.95,17.14,20.01,19.6
LHV (MJ/kg),2.6,18.9,18.13,17.83,18.06,18.98,20.88,17.63,16.00,18.64,18.3
Syngas (dry gas) (kg/h),nd,nd,1116.31,1214.83,595.60,499.96,1086.67,1572.00,800.81,1420.65,1038.4
nd - not determined.,,,,,,,,,,,
