Run_Name,Anion,Cation,Electrolytes,,,,,,,,,,,,,,,,,,,,,,,,
1_1,cl,li,Cc1oc(=O)oc1C,,,,,,,,,,,,,,,,,,,,,,,,
1_2,cl,li,CCC(C)COC(C)=O,,,,,,,,,,,,,,,,,,,,,,,,
1_3,cl,li,CC(=O)OCC(C)C,,,,,,,,,,,,,,,,,,,,,,,,
1_4,cl,li,CCOC(C)=O,,,,,,,,,,,,,,,,,,,,,,,,
1_5,cl,li,CC(C)OC(=O)C(C)C,,,,,,,,,,,,,,,,,,,,,,,,
1_6,cl,li,Cc1oc(=O)oc1C(C)C,,,,,,,,,,,,,,,,,,,,,,,,
1_7,cl,li,CCCOC(=O)OC(C)C,,,,,,,,,,,,,,,,,,,,,,,,
1_8,cl,li,CC(=O)OC(C)C,,,,,,,,,,,,,,,,,,,,,,,,
1_9,cl,li,CCC1OC(=O)OC1C,,,,,,,,,,,,,,,,,,,,,,,,
1_10,cl,li,CCCOC(=O)CC,,,,,,,,,,,,,,,,,,,,,,,,
1_11,cl,li,CCC1OC(=O)OC1(C)C,,,,,,,,,,,,,,,,,,,,,,,,
1_12,cl,li,CCCC1COC(=O)O1,,,,,,,,,,,,,,,,,,,,,,,,
1_13,cl,li,CCOC(=O)OCC,,,,,,,,,,,,,,,,,,,,,,,,
1_14,cl,li,CCCOC(=O)OCC,,,,,,,,,,,,,,,,,,,,,,,,
1_15,cl,li,CC(C)OC(=O)OC(C)C,,,,,,,,,,,,,,,,,,,,,,,,
1_16,cl,li,COC(=O)OC,,,,,,,,,,,,,,,,,,,,,,,,
1_17,cl,li,CCOC(=O)OC,,,,,,,,,,,,,,,,,,,,,,,,
1_18,cl,li,CCCC1OC(=O)OC1C,,,,,,,,,,,,,,,,,,,,,,,,
1_19,cl,li,CCOC(=O)OC(C)C,,,,,,,,,,,,,,,,,,,,,,,,
1_20,cl,li,CCCOC(=O)OCCC,,,,,,,,,,,,,,,,,,,,,,,,
1_21,cl,li,CC1OC(=O)OC1(C)C,,,,,,,,,,,,,,,,,,,,,,,,
1_22,cl,li,CCC1OC(=O)OC1CC,,,,,,,,,,,,,,,,,,,,,,,,
1_23,cl,li,C1CC(=O)OC1,,,,,,,,,,,,,,,,,,,,,,,,
1_24,cl,li,CCC(=O)OC(C)C,,,,,,,,,,,,,,,,,,,,,,,,
1_25,cl,li,O=C1OCCO1,,,,,,,,,,,,,,,,,,,,,,,,
5_1,cl,li,CCCOC(=O)OC(C)C,CC(=O)OC(C)C,CCOC(=O)OCC,CCCOC(=O)OCC,CCC(=O)OC(C)C,,,,,,,,,,,,,,,,,,,,
5_2,cl,li,Cc1oc(=O)oc1C,CCCOC(=O)OC(C)C,CCOC(=O)OCC,CC(C)OC(=O)OC(C)C,CC1OC(=O)OC1(C)C,,,,,,,,,,,,,,,,,,,,
5_3,cl,li,Cc1oc(=O)oc1C,CCC(C)COC(C)=O,CC(C)OC(=O)OC(C)C,CCCOC(=O)OCCC,CCC(=O)OC(C)C,,,,,,,,,,,,,,,,,,,,
5_4,cl,li,CCC1OC(=O)OC1C,COC(=O)OC,CCCC1OC(=O)OC1C,C1CC(=O)OC1,CCC(=O)OC(C)C,,,,,,,,,,,,,,,,,,,,
5_5,cl,li,CCC(C)COC(C)=O,CCCOC(=O)CC,COC(=O)OC,CC1OC(=O)OC1(C)C,CCC(=O)OC(C)C,,,,,,,,,,,,,,,,,,,,
5_6,cl,li,CCC(C)COC(C)=O,CCCOC(=O)OC(C)C,CCC1OC(=O)OC1(C)C,CC1OC(=O)OC1(C)C,CCC(=O)OC(C)C,,,,,,,,,,,,,,,,,,,,
5_7,cl,li,CCC(C)COC(C)=O,CC(C)OC(=O)C(C)C,CC1OC(=O)OC1(C)C,CCC1OC(=O)OC1CC,O=C1OCCO1,,,,,,,,,,,,,,,,,,,,
5_8,cl,li,Cc1oc(=O)oc1C,CCCOC(=O)CC,COC(=O)OC,CCOC(=O)OC,CC1OC(=O)OC1(C)C,,,,,,,,,,,,,,,,,,,,
5_9,cl,li,CCC1OC(=O)OC1C,CCOC(=O)OCC,CCC1OC(=O)OC1CC,CCC(=O)OC(C)C,O=C1OCCO1,,,,,,,,,,,,,,,,,,,,
5_10,cl,li,Cc1oc(=O)oc1C,Cc1oc(=O)oc1C(C)C,CCOC(=O)OC(C)C,CCCOC(=O)OCCC,C1CC(=O)OC1,,,,,,,,,,,,,,,,,,,,
25_1,cl,li,Cc1oc(=O)oc1C,CCC(C)COC(C)=O,CC(=O)OCC(C)C,CCOC(C)=O,CC(C)OC(=O)C(C)C,Cc1oc(=O)oc1C(C)C,CCCOC(=O)OC(C)C,CC(=O)OC(C)C,CCC1OC(=O)OC1C,CCCOC(=O)CC,CCC1OC(=O)OC1(C)C,CCCC1COC(=O)O1,CCOC(=O)OCC,CCCOC(=O)OCC,CC(C)OC(=O)OC(C)C,COC(=O)OC,CCOC(=O)OC,CCCC1OC(=O)OC1C,CCOC(=O)OC(C)C,CCCOC(=O)OCCC,CC1OC(=O)OC1(C)C,CCC1OC(=O)OC1CC,C1CC(=O)OC1,CCC(=O)OC(C)C,O=C1OCCO1





